"BLOCK","NAME","GQ_HH","GQ_Inst","GQ_Inst_Cor","GQ_Inst_Juv","GQ_Inst_Nur","GQ_Inst_Oth","GQ_Non","GQ_Non_Uni","GQ_Non_Mil","GQ_Non_Oth"
410099705003004,"Block 3004, Block Group 3, Census Tract 9705, Columbia County, Oregon",2,0,0,0,0,0,2,0,0,2
410139501012002,"Block 2002, Block Group 2, Census Tract 9501.01, Crook County, Oregon",30,0,0,0,0,0,30,0,0,30
410110005062015,"Block 2015, Block Group 2, Census Tract 5.06, Coos County, Oregon",12,0,0,0,0,0,12,0,0,12
410191700002083,"Block 2083, Block Group 2, Census Tract 1700, Douglas County, Oregon",7,0,0,0,0,0,7,0,0,7
410099705004019,"Block 4019, Block Group 4, Census Tract 9705, Columbia County, Oregon",4,0,0,0,0,0,4,0,0,4
410099705004030,"Block 4030, Block Group 4, Census Tract 9705, Columbia County, Oregon",9,0,0,0,0,0,9,0,0,9
410159503024029,"Block 4029, Block Group 4, Census Tract 9503.02, Curry County, Oregon",37,0,0,0,0,0,37,0,0,37
410139501021052,"Block 1052, Block Group 1, Census Tract 9501.02, Crook County, Oregon",3,0,0,0,0,0,3,0,0,3
410099706001004,"Block 1004, Block Group 1, Census Tract 9706, Columbia County, Oregon",8,0,0,0,0,0,8,0,0,8
410110007014105,"Block 4105, Block Group 4, Census Tract 7.01, Coos County, Oregon",15,0,0,0,0,0,15,0,0,15
410159503021007,"Block 1007, Block Group 1, Census Tract 9503.02, Curry County, Oregon",16,0,0,0,0,0,16,0,0,16
410170008005010,"Block 5010, Block Group 5, Census Tract 8, Deschutes County, Oregon",4,0,0,0,0,0,4,0,0,4
410139501021206,"Block 1206, Block Group 1, Census Tract 9501.02, Crook County, Oregon",8,0,0,0,0,0,8,0,0,8
410110007015002,"Block 5002, Block Group 5, Census Tract 7.01, Coos County, Oregon",11,0,0,0,0,0,11,0,0,11
410110007015013,"Block 5013, Block Group 5, Census Tract 7.01, Coos County, Oregon",9,0,0,0,0,0,9,0,0,9
410170015012017,"Block 2017, Block Group 2, Census Tract 15.01, Deschutes County, Oregon",8,0,0,0,0,0,8,0,0,8
410170021012015,"Block 2015, Block Group 2, Census Tract 21.01, Deschutes County, Oregon",2,0,0,0,0,0,2,0,0,2
410110007022007,"Block 2007, Block Group 2, Census Tract 7.02, Coos County, Oregon",14,0,0,0,0,0,14,0,0,14
410170015013019,"Block 3019, Block Group 3, Census Tract 15.01, Deschutes County, Oregon",6,0,0,0,0,0,6,0,0,6
410170021013001,"Block 3001, Block Group 3, Census Tract 21.01, Deschutes County, Oregon",19,0,0,0,0,0,19,0,0,19
410099706001050,"Block 1050, Block Group 1, Census Tract 9706, Columbia County, Oregon",5,0,0,0,0,0,5,0,0,5
410170009011057,"Block 1057, Block Group 1, Census Tract 9.01, Deschutes County, Oregon",1,0,0,0,0,0,1,0,0,1
410170021031001,"Block 1001, Block Group 1, Census Tract 21.03, Deschutes County, Oregon",18,0,0,0,0,0,18,0,0,18
410191700003054,"Block 3054, Block Group 3, Census Tract 1700, Douglas County, Oregon",6,0,0,0,0,0,6,0,0,6
410099708001025,"Block 1025, Block Group 1, Census Tract 9708, Columbia County, Oregon",1,0,0,0,0,0,1,0,0,1
410099708002000,"Block 2000, Block Group 2, Census Tract 9708, Columbia County, Oregon",1,0,0,0,0,0,1,0,0,1
410099708002008,"Block 2008, Block Group 2, Census Tract 9708, Columbia County, Oregon",4,0,0,0,0,0,4,0,0,4
410099708002010,"Block 2010, Block Group 2, Census Tract 9708, Columbia County, Oregon",7,0,0,0,0,0,7,0,0,7
410099708002011,"Block 2011, Block Group 2, Census Tract 9708, Columbia County, Oregon",3,0,0,0,0,0,3,0,0,3
410099707001013,"Block 1013, Block Group 1, Census Tract 9707, Columbia County, Oregon",16,0,0,0,0,0,16,0,0,16
410099707002004,"Block 2004, Block Group 2, Census Tract 9707, Columbia County, Oregon",15,0,0,0,0,0,15,0,0,15
410170009012030,"Block 2030, Block Group 2, Census Tract 9.01, Deschutes County, Oregon",1,0,0,0,0,0,1,0,0,1
410159503012029,"Block 2029, Block Group 2, Census Tract 9503.01, Curry County, Oregon",9,0,0,0,0,0,9,0,0,9
410139502004038,"Block 4038, Block Group 4, Census Tract 9502, Crook County, Oregon",16,0,0,0,0,0,16,0,0,16
410099702022048,"Block 2048, Block Group 2, Census Tract 9702.02, Columbia County, Oregon",17,0,0,0,0,0,17,0,0,17
410099702022059,"Block 2059, Block Group 2, Census Tract 9702.02, Columbia County, Oregon",1,0,0,0,0,0,1,0,0,1
