"BLOCK","HH","POP","HH_Occ","GQ_Inst","GQ_Non","GP"
530110410034000,77,184,77,0,0,184
530110410034001,39,91,39,0,0,91
530110410034002,25,60,25,0,0,60
530110410034003,51,121,51,0,0,121
530110410034004,12,21,12,0,0,21
530110410034005,8,25,8,0,0,25
530110410034006,10,24,10,0,0,24
530110410034007,19,52,19,0,0,52
530110410034009,5,11,5,0,0,11
530110410034010,33,65,33,0,0,65
530110410034012,4,18,4,0,0,18
530110410034013,19,48,19,0,0,48
530110410034014,43,101,43,0,0,101
530110410034016,19,41,19,0,0,41
530110410034017,18,57,18,0,0,57
530110410051001,194,418,194,0,0,418
530110410051002,20,50,20,0,0,50
530110410051004,118,224,116,0,0,224
530110410051005,26,50,25,0,0,50
530110410051006,37,88,37,0,0,88
530110410051008,46,104,46,0,0,104
530110410051009,18,44,11,0,0,44
530110410052054,52,176,52,0,0,176
530110410052057,10,21,4,0,0,21
530110410052058,122,336,116,0,0,336
530110410071000,58,186,56,0,0,186
530110410071001,21,56,16,0,0,56
530110410071002,59,155,59,0,0,155
530110410071003,18,50,18,0,0,50
530110410071004,9,32,9,0,0,32
530110410071005,12,27,12,0,0,27
530110410071006,43,94,43,0,0,94
530110410071007,19,42,18,0,0,42
530110410071008,13,37,13,0,0,37
530110410071009,14,37,14,0,0,37
530110410071010,13,36,7,0,0,36
530110418003006,8,20,8,0,0,20
530110418003008,18,37,18,0,0,37
530110418003011,6,9,6,0,0,9
530110418003012,11,25,11,0,0,25
530110418003014,9,22,9,0,0,22
530110418003015,9,38,9,0,0,38
530110418003016,9,22,9,0,0,22
530110419001014,12,37,11,0,0,37
530110419001015,12,28,12,0,0,28
530110419001016,10,31,10,0,0,31
530110419001017,8,27,4,0,0,27
530110419001018,11,15,11,0,0,15
530110419001022,12,24,12,0,0,24
530110419001023,11,24,10,0,0,24
530110419001024,10,16,10,0,0,16
530110419001025,23,40,23,0,0,40
530110419001030,178,287,178,86,1,200
530110419001031,10,14,10,0,0,14
530110419001032,8,13,8,0,0,13
530110419001034,7,16,7,0,0,16
530110419001035,8,20,8,0,0,20
530110419001037,9,21,9,0,0,21
530110419001038,8,22,2,0,0,22
530110419001040,8,8,8,0,0,8
530110419001041,10,15,10,0,0,15
530110419002002,4,10,4,0,0,10
530110419002004,8,21,8,0,0,21
530110419002005,7,16,7,0,0,16
530110419002007,9,16,9,0,0,16
530110419002008,13,35,13,0,0,35
530110419002010,9,16,9,0,0,16
530110419002011,22,46,22,0,0,46
530110419002013,9,19,9,0,0,19
530110419002014,8,17,8,0,0,17
530110419002015,4,9,0,0,0,9
530110419002018,5,12,5,0,0,12
530110419002020,63,93,59,0,0,93
530110410051011,29,80,29,0,0,80
530110410051012,11,29,11,0,0,29
530110410051014,8,32,8,0,0,32
530110410051015,46,120,46,0,0,120
530110410051016,16,32,16,0,0,32
530110410051018,7,21,7,0,0,21
530110410051019,12,37,12,0,0,37
530110410052009,2,9,1,0,0,9
530110410052011,1,11,0,0,0,11
530110410052025,27,43,27,0,0,43
530110410052036,2,9,0,0,0,9
530110410071013,41,75,41,0,0,75
530110410071015,16,49,16,0,0,49
530110410071016,12,36,12,0,0,36
530110410071017,41,96,41,0,0,96
530110410072001,39,86,39,0,0,86
530110410072004,214,577,214,62,0,515
530110410072006,15,26,6,0,0,26
530110410072007,10,49,8,0,0,49
530110410072008,12,32,11,0,0,32
530110410072010,16,42,16,0,0,42
530110410072011,68,105,68,0,0,105
530110410072013,8,33,8,0,0,33
530110410072016,68,206,68,0,0,206
530110410073000,58,147,58,0,0,147
530110410073001,10,40,10,0,0,40
530110410073003,39,80,39,0,0,80
530110410073004,15,64,15,0,0,64
530110410073006,15,35,15,0,0,35
530110410073007,12,39,12,0,0,39
530110410073009,49,108,49,0,0,108
530110410081001,13,45,6,0,0,45
530110410081002,16,38,16,0,0,38
530110410081003,52,118,52,0,0,118
530110410081004,9,23,9,0,0,23
530110410081005,53,140,53,0,0,140
530110410081006,16,47,16,0,0,47
530110410081007,41,83,33,0,0,83
530110410081008,21,48,21,0,0,48
530110410081009,40,108,36,0,0,108
530110410081010,21,57,21,0,0,57
530110410081011,44,110,43,0,0,110
530110410081012,45,112,45,0,0,112
530110419002021,8,27,8,0,0,27
530110419002023,9,26,9,0,0,26
530110419002024,10,18,6,0,0,18
530110419002025,7,17,0,0,0,17
530110419002026,2,9,2,0,0,9
530110419002027,4,10,4,0,0,10
530110419002028,7,19,7,0,0,19
530110419002029,8,24,7,0,0,24
530110419002030,8,20,8,0,0,20
530110419002031,15,17,15,0,0,17
530110419002032,5,22,5,0,0,22
530110419002033,4,9,4,0,0,9
530110419002034,14,32,14,0,0,32
530110419002035,7,18,7,0,0,18
530110419002036,3,3,0,0,0,3
530110419002037,5,17,5,0,0,17
530110419002040,54,117,54,0,3,114
530110419002043,2,2,2,0,0,2
530110419002044,4,6,4,0,0,6
530110420001000,123,232,123,0,0,232
530110420001001,11,24,11,0,0,24
530110420001003,9,19,3,0,0,19
530110420001004,10,25,10,0,0,25
530110420001006,8,20,8,0,0,20
530110420001007,23,40,23,0,0,40
530110420001008,17,34,17,0,0,34
530110420001010,13,29,13,0,0,29
530110420001011,12,30,12,0,0,30
530110420001013,6,15,6,0,0,15
530110420001014,10,22,10,0,0,22
530110420001016,12,40,2,0,0,40
530110420001017,10,19,10,0,0,19
530110420002001,12,18,12,0,0,18
530110420002002,27,52,27,0,0,52
530110420002003,28,61,28,0,0,61
530110420002006,27,54,27,0,0,54
530110410052041,1,14,1,0,0,14
530110410052046,9,22,9,0,0,22
530110420002020,16,32,7,0,0,32
530110421001000,9,21,9,0,0,21
530110421001002,15,32,15,0,0,32
530110421001003,8,19,8,0,0,19
530110421001004,10,25,10,0,0,25
530110421001005,9,38,5,0,0,38
530110421001006,11,32,11,0,0,32
530110421001007,8,24,8,0,0,24
530110421001008,12,23,12,0,0,23
530110421001009,11,24,11,0,0,24
530110421001010,11,32,11,0,0,32
530110421001011,11,17,11,0,0,17
530110421001012,13,27,9,0,0,27
530110421001013,12,29,12,0,0,29
530110421001014,12,25,12,0,0,25
530110421001015,14,27,14,0,0,27
530110421001016,16,42,16,0,0,42
530110421001017,13,20,13,0,0,20
530110421001018,11,26,10,0,0,26
530110421001020,19,15,19,0,0,15
530110421001021,17,35,17,0,0,35
530110421001022,16,37,16,0,0,37
530110421001024,13,38,13,0,0,38
530110421001025,14,18,12,0,0,18
530110421001027,19,38,13,0,0,38
530110421001028,12,26,12,0,0,26
530110421001030,13,24,13,0,0,24
530110421001031,17,37,17,0,0,37
530110421001033,15,37,15,0,0,37
530110410081013,1,16,1,0,0,16
530110410081016,36,69,36,0,16,53
530110410082000,83,189,83,0,0,189
530110410082002,10,44,10,0,0,44
530110410082003,10,24,10,0,0,24
