"BLOCK","HH","POP","HH_Occ","GQ_Inst","GQ_Non","GP"
530110413192012,18,48,18,0,0,48
530110413192014,14,50,14,0,0,50
530110413192015,27,77,27,0,0,77
530110413192017,59,133,55,0,0,133
530110413192018,10,30,10,0,0,30
530110413192019,63,155,63,0,0,155
530110413192021,40,81,39,0,0,81
530110413192022,67,186,58,0,7,179
530110413192024,30,94,30,0,0,94
530110413192025,10,38,10,0,0,38
530110413192027,24,63,24,0,0,63
530110413192028,21,53,21,0,0,53
530110413192029,11,25,11,0,0,25
530110413192031,16,59,16,0,0,59
530110413192032,25,89,25,0,0,89
530110413193001,59,157,59,0,0,157
530110413193002,49,127,49,0,0,127
530110413193004,28,93,25,0,0,93
530110413193005,23,98,17,0,0,98
530110413193006,173,422,173,0,0,422
530110413193008,36,117,36,0,0,117
530110413193009,55,125,49,0,0,125
530110413201001,18,52,18,0,0,52
530110413201002,39,116,39,0,0,116
530110413201004,30,77,30,0,0,77
530110413201005,54,163,54,0,0,163
530110413201007,10,29,10,0,14,15
530110413201008,25,62,25,0,0,62
530110413201009,13,57,13,0,0,57
530110413201010,75,177,67,0,0,177
530110413201011,85,218,72,0,0,218
530110413201012,32,85,32,0,0,85
530110413202012,24,72,24,0,0,72
530110413202013,34,114,32,0,0,114
530110413203000,10,41,10,0,0,41
530110413203001,28,68,28,0,0,68
530110413203002,40,102,40,0,0,102
530110413203003,71,154,71,0,0,154
530110413203004,17,61,9,0,0,61
530110413203005,21,74,21,0,0,74
530110413203006,20,56,20,0,0,56
530110413203007,66,156,66,0,0,156
530110413203008,15,42,11,0,0,42
530110413204000,14,65,7,0,0,65
530110413204001,18,55,7,0,0,55
530110413204003,157,347,146,0,0,347
530110413204004,23,79,19,0,0,79
530110413204006,592,1151,558,0,0,1151
530110413205000,72,179,72,0,0,179
530110413205001,230,511,224,0,0,511
530110413205003,12,34,9,0,0,34
530110413205004,28,66,28,0,0,66
530110413205006,20,64,20,0,0,64
530110413205007,10,41,10,0,0,41
530110413211002,1,4,1,0,0,4
530110413211005,43,109,42,0,0,109
530110413211006,12,56,12,0,0,56
530110413211008,21,60,14,0,0,60
530110413211009,16,64,16,0,0,64
530110413211011,27,105,20,0,0,105
530110413211012,6,28,6,0,0,28
530110413211013,10,56,10,0,0,56
530110413211015,391,772,388,0,0,772
530110413211016,25,66,25,0,0,66
530110413211018,10,26,8,0,0,26
530110413211019,27,62,27,0,0,62
530110413201013,15,61,15,0,0,61
530110413201014,26,52,26,0,0,52
530110413201015,11,43,11,0,0,43
530110413201016,34,67,32,0,0,67
530110413201017,28,70,28,0,0,70
530110413211021,11,45,11,0,0,45
530110413211022,20,62,19,0,0,62
530110413212003,46,144,42,0,0,144
530110413212004,2,5,1,0,0,5
530110413212005,3,10,3,0,0,10
530110413212006,14,49,14,0,0,49
530110413212007,10,36,10,0,5,31
530110413212008,73,189,73,0,0,189
530110413212009,21,56,21,0,0,56
530110413212010,9,26,9,0,0,26
530110413212011,22,62,18,0,0,62
530110413212012,52,128,52,0,0,128
530110413212013,6,24,5,0,0,24
530110413221001,198,407,196,0,0,407
530110413221002,8,29,2,0,0,29
530110413221004,2,53,2,0,1,52
530110413221006,170,203,156,0,0,203
530110413221008,1,15,0,0,0,15
530110413221009,35,103,35,0,0,103
530110413221011,22,50,19,0,0,50
530110413221012,349,719,337,0,0,719
530110413221014,110,279,110,0,0,279
530110413221015,18,63,10,0,0,63
530110413221016,47,135,47,0,0,135
530110413222001,254,520,239,0,0,520
530110413223000,515,1188,501,0,11,1177
530110413223003,82,236,82,0,0,236
530110413231000,50,163,49,0,0,163
530110413231001,24,73,24,0,0,73
530110413231002,92,240,92,0,11,229
530110413231004,26,88,26,0,0,88
530110413231005,471,1061,468,0,7,1054
530110413235000,180,314,175,0,0,314
530110413235001,15,66,15,0,0,66
530110413235002,56,234,51,77,0,157
530110413235003,163,355,153,0,0,355
530110413235004,11,41,11,0,0,41
530110413251000,66,166,66,0,0,166
530110413251001,12,39,12,0,0,39
530110413251002,12,36,12,0,0,36
530110413251003,31,105,31,0,0,105
530110413251004,68,185,68,0,0,185
530110413251005,18,44,17,0,0,44
530110413251006,17,37,17,0,0,37
530110413251007,13,49,13,0,0,49
530110413251008,37,123,30,0,0,123
530110413251009,49,124,49,0,0,124
530110413251011,98,248,98,0,0,248
530110413251012,18,47,18,0,0,47
530110413251014,16,73,16,0,0,73
530110413251015,16,43,16,0,0,43
530110413251016,372,672,359,0,0,672
530110413251018,10,43,10,0,0,43
530110413251021,13,41,13,0,0,41
530110413251022,3,13,3,0,0,13
530110413251026,9,40,9,0,0,40
530110413252001,46,135,46,0,0,135
530110413231007,23,75,23,0,5,70
530110413232000,36,92,36,0,0,92
530110413232002,21,52,21,0,0,52
530110413232003,17,46,16,0,0,46
530110413232005,23,85,21,0,1,84
530110413232006,23,65,23,0,0,65
530110413232007,29,59,29,0,0,59
530110413232008,67,149,65,0,0,149
530110413232009,19,57,8,0,0,57
530110413232010,31,72,31,0,0,72
530110413233000,18,56,18,0,0,56
530110413233001,36,118,36,0,7,111
530110413233002,10,37,10,0,0,37
530110413233004,5,12,5,0,0,12
530110413233005,95,228,95,0,7,221
530110413233006,10,24,10,0,0,24
530110413233007,18,67,18,0,11,56
530110413233008,18,45,18,0,0,45
530110413233010,23,72,23,0,0,72
530110413233011,22,62,19,0,0,62
530110413233013,8,37,8,0,0,37
530110413233014,11,40,11,0,0,40
530110413234008,51,127,51,0,0,127
530110413234009,8,25,8,0,0,25
530110413234011,14,42,14,0,0,42
530110413234012,26,91,25,0,0,91
530110413234013,22,79,18,0,7,72
530110413252002,26,83,26,0,0,83
530110413252004,64,187,64,0,0,187
530110413252005,5,10,5,0,0,10
530110413252007,130,303,130,0,0,303
530110413252008,8,20,2,0,0,20
530110413252009,72,122,72,0,0,122
530110413252011,4,24,4,0,0,24
530110413252012,12,25,12,0,0,25
530110413252014,14,26,14,0,0,26
530110413252015,23,87,23,0,0,87
530110413252024,8,19,8,0,0,19
530110413252025,8,26,8,0,0,26
530110413252029,1,6,1,0,0,6
530110413252032,4,23,4,0,0,23
530110413252038,10,16,10,0,0,16
530110413253000,43,132,43,0,0,132
530110413253001,39,108,38,0,0,108
530110413253003,40,122,40,0,0,122
530110413253004,20,68,20,0,0,68
530110413253006,44,145,44,0,0,145
530110413253007,15,62,14,0,0,62
530110413253009,10,31,10,0,0,31
530110413253010,55,137,52,0,0,137
530110408032013,19,54,16,0,0,54
530110408032015,30,73,30,0,0,73
530110408032016,45,120,43,0,0,120
530110408032017,18,43,18,0,0,43
530110408032018,16,42,16,0,0,42
530110408032019,34,87,34,0,0,87
530110408032020,27,59,27,0,0,59
530110408032021,67,138,67,0,0,138
530110408032022,14,27,14,0,0,27
530110408032024,8,32,8,0,0,32
530110408032025,24,64,24,0,0,64
530110408033000,136,352,136,0,0,352
530110408033001,13,55,13,0,0,55
530110408033003,11,33,11,0,0,33
530110408033004,12,37,12,0,0,37
530110408033006,27,60,27,0,0,60
530110408033007,57,156,57,0,0,156
530110408033008,30,94,30,0,0,94
530110408034001,85,231,85,0,3,228
530110408034003,47,128,45,0,0,128
530110408034004,2,10,2,0,0,10
530110413253011,19,45,19,0,0,45
530110413253013,17,44,17,0,0,44
530110413253016,3,15,3,0,0,15
530110413253019,4,17,3,0,0,17
530110413253020,42,139,42,0,0,139
530110413253021,14,52,14,0,0,52
530110413261001,13,37,13,0,0,37
530110413261006,71,214,71,0,1,213
530110413261007,33,112,32,0,0,112
530110413261009,74,213,74,0,0,213
530110413261010,94,271,94,0,0,271
530110413261011,25,99,25,0,9,90
530110413261012,20,66,11,0,0,66
530110413261013,47,163,47,0,7,156
530110413261014,9,39,9,0,0,39
530110413261015,8,30,8,0,0,30
530110413261016,152,408,145,0,0,408
530110413261017,14,52,14,0,0,52
530110413261018,11,36,11,0,0,36
530110413261019,11,62,11,0,0,62
530110413261020,6,20,3,0,0,20
530110413261021,38,118,38,0,0,118
530110413261022,20,65,20,0,0,65
530110413261024,26,77,26,0,0,77
530110413261025,22,63,22,0,0,63
530110413261027,22,62,22,0,0,62
530110413261028,19,40,19,0,0,40
530110413261029,14,37,14,0,0,37
530110413261031,14,37,14,0,0,37
530110413261032,11,48,11,0,0,48
530110413281001,14,34,14,0,0,34
530110413281002,98,171,96,0,0,171
530110413283005,125,210,120,0,0,210
530110413283007,24,95,24,0,0,95
530110413283008,13,36,13,0,0,36
530110413283010,17,42,17,0,0,42
530110413283011,10,24,10,0,0,24
530110413283014,31,84,31,0,0,84
530110413283015,25,75,25,0,0,75
530110413283017,12,27,12,0,0,27
530110413284001,54,167,54,0,0,167
530110413284002,20,49,20,0,0,49
530110413284003,12,59,12,0,0,59
530110413284005,26,66,26,0,0,66
530110413284006,14,50,14,0,0,50
530110413284008,12,44,12,0,0,44
530110413284009,55,177,55,0,0,177
530110413284010,14,54,14,0,0,54
530110413284011,16,44,16,0,0,44
530110413284012,10,19,10,0,0,19
530110413284013,32,50,32,0,0,50
530110413284014,27,66,27,0,0,66
530110413284015,23,53,23,0,0,53
530110413284016,15,47,15,0,0,47
530110413284017,8,25,8,0,0,25
530110408034006,55,136,55,0,0,136
530110408034007,42,118,42,0,0,118
530110408034008,45,119,45,0,0,119
530110408034010,10,23,10,0,0,23
530110408061000,92,201,85,0,0,201
530110408061002,3,14,3,0,0,14
530110408061003,7,28,4,0,0,28
530110408061005,22,99,21,0,0,99
530110408061006,7,20,7,0,0,20
530110408061007,8,31,8,0,0,31
530110408061009,6,28,6,0,0,28
530110408061010,24,66,24,0,0,66
530110408061011,10,28,10,0,0,28
530110408061012,97,240,97,0,0,240
530110408061013,27,89,27,1,0,88
530110408061014,27,81,27,0,0,81
530110408061015,4,19,4,0,0,19
530110408061016,1,9,1,0,0,9
530110408061017,6,21,6,0,0,21
530110408061018,17,45,17,0,0,45
530110408061019,14,38,14,0,0,38
530110408061020,14,57,7,0,0,57
530110408061021,21,68,21,0,0,68
530110408062000,29,109,29,0,5,104
530110408062001,10,48,10,0,0,48
530110408062002,17,43,17,0,0,43
530110408062004,5,19,5,0,0,19
530110408062005,3,12,3,0,0,12
530110408062007,14,34,14,0,0,34
530110408062008,25,76,25,0,0,76
530110408062009,3,12,3,0,0,12
530110408062011,9,30,9,0,0,30
530110408062012,14,39,14,0,0,39
530110408062014,4,15,4,0,0,15
530110408062015,7,30,7,0,0,30
530110408062017,2,16,2,0,0,16
530110408062018,8,14,8,0,0,14
530110413281005,344,505,331,0,0,505
530110413281006,35,116,34,0,0,116
530110413281008,80,178,66,0,0,178
530110413281009,18,56,18,0,0,56
530110413281011,15,57,14,0,0,57
530110413281012,271,677,253,0,0,677
530110413281014,17,77,17,0,0,77
530110413282000,62,130,62,0,0,130
530110413282001,65,161,65,0,0,161
530110413282003,13,40,13,0,0,40
530110413282004,334,607,308,0,0,607
530110413282006,13,42,13,0,0,42
530110413282007,15,46,13,0,0,46
530110413283000,3,9,2,0,0,9
530110413283001,3,14,3,0,0,14
530110413284018,17,30,17,0,0,30
530110413284019,13,39,13,0,0,39
530110413284020,12,45,12,0,0,45
530110413284021,9,31,9,0,0,31
530110413284023,10,23,10,0,0,23
530110413291000,548,777,517,0,0,777
530110413291002,13,68,13,0,0,68
530110413292000,72,211,64,0,0,211
530110413292001,18,54,18,0,0,54
530110413292003,11,47,1,0,0,47
530110413292004,109,298,109,0,0,298
530110413292006,10,40,7,0,0,40
530110413292007,17,56,17,0,0,56
530110413292009,57,170,57,0,0,170
530110413292010,28,66,28,0,0,66
530110413292011,42,142,42,0,0,142
530110413292013,28,58,28,0,0,58
530110413292014,24,50,24,0,0,50
530110413292016,12,27,12,0,0,27
530110413292017,14,41,14,0,0,41
530110413292020,16,56,16,0,0,56
530110413292021,15,42,15,0,0,42
530110413292023,22,45,22,0,0,45
530110413292024,24,61,24,0,0,61
530110413292026,31,77,31,0,0,77
530110413292027,13,33,13,0,0,33
530110413292029,14,42,14,0,0,42
530110413292030,7,27,7,0,0,27
530110413292032,33,68,33,0,0,68
530110413292033,24,70,12,0,0,70
530110413292034,10,18,10,0,0,18
530110413293000,459,772,459,0,0,772
530110413293001,10,39,10,0,0,39
530110413293002,28,80,28,0,0,80
530110413293003,28,62,26,0,0,62
530110413293004,26,74,26,0,0,74
530110408062019,62,173,62,0,0,173
530110408062021,17,46,16,0,0,46
530110408062022,14,41,14,0,0,41
530110408063000,18,48,18,0,0,48
530110408063001,36,159,36,0,0,159
530110408063003,2,17,1,0,0,17
530110408063005,46,181,46,0,0,181
530110408063007,1,1,0,0,0,1
530110408063008,9,50,9,0,0,50
530110408063013,80,233,80,0,6,227
530110408063014,16,65,16,0,0,65
530110408063016,24,65,24,0,0,65
530110408063017,27,70,27,0,0,70
530110408063018,6,21,6,0,0,21
530110408063019,54,117,54,0,0,117
530110408063020,39,140,39,0,0,140
530110408063021,55,183,49,0,0,183
530110408081001,137,265,137,0,0,265
530110408081002,8,29,8,0,0,29
530110408081003,51,103,51,0,0,103
530110408081004,40,104,40,0,0,104
530110408081005,38,110,37,0,0,110
530110408081007,167,495,167,0,0,495
530110408081009,2,21,2,0,0,21
530110408081010,7,18,7,0,0,18
530110408081020,1,3,1,0,0,3
530110408091004,6,35,6,0,0,35
530110408091005,11,48,11,0,0,48
530110408091006,21,103,21,0,0,103
530110408092000,21,86,21,0,0,86
530110408092001,581,1487,536,0,0,1487
530110408092003,186,332,177,0,0,332
530110408092004,27,77,27,0,0,77
530110408092005,21,65,21,0,0,65
530110408093000,252,613,250,0,0,613
530110408093001,10,36,6,0,0,36
530110408093002,52,128,52,0,0,128
530110408093003,28,96,28,0,0,96
530110408093004,30,98,30,0,6,92
530110408093005,66,178,66,0,0,178
530110408093006,6,36,6,0,0,36
530110408093007,10,45,10,0,0,45
530110408093008,24,60,24,0,0,60
530110408094000,61,235,61,0,0,235
530110408094001,12,37,12,0,0,37
530110408094002,80,236,75,0,0,236
530110408094003,14,37,14,0,0,37
530110408094004,48,153,48,0,0,153
530110408094005,8,35,8,0,0,35
530110408094007,59,186,59,0,0,186
530110413293005,5,21,2,0,0,21
530110413293006,6,21,6,0,0,21
530110413293010,18,52,18,0,0,52
530110413293012,8,34,7,0,0,34
530110413293013,46,133,46,0,0,133
530110413301001,58,165,58,0,0,165
530110413301002,22,77,18,0,0,77
530110413301003,89,243,89,0,0,243
530110413301005,50,131,46,0,0,131
530110413301006,44,130,44,0,0,130
530110413301008,23,46,19,0,0,46
530110413301009,70,228,70,0,0,228
530110413301011,34,84,34,0,0,84
530110413302000,78,220,78,0,0,220
530110413302001,28,86,26,0,0,86
530110413302003,36,111,36,0,0,111
530110413302004,36,106,36,0,4,102
530110413302006,30,105,30,0,0,105
530110413302007,14,36,14,0,0,36
530110413302009,40,122,40,0,0,122
530110413302010,33,124,33,0,0,124
530110413302011,45,108,45,0,0,108
530110413303000,3,18,3,0,0,18
530110413303001,25,85,25,0,0,85
530110413303003,39,111,36,0,0,111
530110413303004,39,106,39,0,0,106
530110413303006,23,82,23,0,0,82
530110413303007,23,72,23,0,0,72
530110413303009,66,146,57,0,0,146
530110413303010,13,50,13,0,0,50
530110413303011,17,53,17,0,0,53
530110413303012,8,25,8,0,0,25
530110413303013,46,154,46,0,0,154
530110413303014,43,117,43,0,0,117
530110408081022,35,127,35,0,0,127
530110408081023,18,59,9,0,0,59
530110408081024,1,28,1,0,0,28
530110408081034,6,12,6,0,0,12
530110408091000,32,110,27,0,0,110
530110408091001,27,82,27,0,0,82
530110408091002,48,167,48,0,0,167
530110408091003,108,253,106,0,0,253
530110413321004,15,52,15,0,0,52
530110413321005,13,44,13,0,0,44
530110413321006,40,131,40,0,0,131
530110413321007,29,63,29,0,0,63
530110413321008,29,92,29,0,0,92
530110413321009,9,44,9,0,0,44
530110413321010,17,71,15,0,0,71
530110413321011,9,46,9,0,0,46
530110413321012,10,35,9,0,0,35
530110413321013,28,81,28,0,0,81
530110413321015,179,407,179,0,0,407
530110413321016,16,49,16,0,0,49
530110413321017,19,59,17,0,0,59
530110413321019,39,98,39,0,0,98
530110413321020,21,86,11,0,0,86
530110413321022,26,84,26,0,0,84
530110413321023,30,82,30,0,0,82
530110413322001,37,107,37,0,0,107
530110413322002,48,160,48,0,0,160
530110413322003,71,222,71,0,0,222
530110413322005,23,72,23,0,0,72
530110413322006,90,226,88,0,0,226
530110413322008,36,111,36,0,0,111
530110413322009,18,61,18,0,0,61
530110413331001,23,61,23,0,0,61
530110413331002,13,40,13,0,0,40
530110413331004,10,26,10,0,0,26
530110413331005,37,121,35,0,0,121
530110408094008,11,22,11,0,0,22
530110408094010,17,67,17,0,0,67
530110408094011,21,68,14,0,0,68
530110408094012,42,154,42,0,0,154
530110408094014,27,93,27,0,0,93
530110408094015,67,217,67,0,0,217
530110408094017,25,58,25,0,0,58
530110408094018,25,61,25,0,0,61
530110408094020,30,59,30,0,0,59
530110408094021,4,16,3,0,0,16
530110408094022,21,52,21,0,0,52
530110408101000,559,1299,535,0,0,1299
530110408101001,9,34,5,0,0,34
530110408101003,2,31,2,0,0,31
530110408101004,22,83,22,0,0,83
530110408101006,6,29,6,0,0,29
530110408101007,60,152,60,0,0,152
530110408101008,5,24,5,0,0,24
530110408101010,9,33,9,0,0,33
530110408101011,12,39,12,0,0,39
530110408102000,58,150,48,0,0,150
530110408102001,15,61,15,0,0,61
530110408102003,50,133,50,0,0,133
530110408102004,13,58,13,0,0,58
530110408102006,12,23,12,0,0,23
530110408102007,16,69,11,0,0,69
530110408102008,15,48,15,0,0,48
530110408102009,14,42,14,0,0,42
530110408102010,39,89,39,0,0,89
530110408102011,22,62,22,0,0,62
530110408102012,34,69,34,0,0,69
530110408102013,65,169,65,0,0,169
530110408102014,13,41,13,0,0,41
530110408102015,1,18,1,0,0,18
530110408102016,11,22,11,0,0,22
530110408102017,21,46,21,0,0,46
530110408102018,3,24,3,0,0,24
530110413303015,16,45,16,0,0,45
530110413303016,12,31,12,0,0,31
530110413303017,93,268,93,0,0,268
530110413303018,11,28,11,0,0,28
530110413303019,33,78,33,0,0,78
530110413303020,33,86,33,0,0,86
530110413303021,8,23,8,0,0,23
530110413303022,40,136,37,0,0,136
530110413311000,544,1340,537,0,0,1340
530110413311001,118,305,118,0,0,305
530110413311003,91,252,90,0,0,252
530110413312000,49,142,38,0,0,142
530110413312001,3,27,3,0,0,27
530110413312003,25,91,25,0,0,91
530110413312004,71,251,71,0,12,239
530110413321000,52,149,52,0,4,145
530110413321001,33,83,33,0,0,83
530110413331006,26,75,26,0,0,75
530110413331008,14,42,14,0,0,42
530110413331009,14,29,14,0,0,29
530110413331011,13,33,13,0,0,33
530110413331012,15,64,15,0,0,64
530110413331014,17,68,17,0,0,68
530110413331015,8,25,8,0,0,25
530110413331016,8,23,8,0,0,23
530110413331017,9,15,9,0,0,15
530110413331018,16,62,16,0,0,62
530110413331019,8,26,7,0,0,26
530110413331020,61,150,61,0,0,150
530110413331021,19,46,19,0,0,46
530110413331022,15,48,15,0,0,48
530110413331023,29,85,29,0,0,85
530110413332000,49,140,47,0,0,140
530110413332001,6,40,6,0,0,40
530110413332002,11,34,11,0,7,27
530110413332003,12,47,12,0,0,47
530110413332004,11,32,10,0,0,32
530110413332005,16,58,16,0,0,58
530110413332006,41,124,40,0,0,124
530110413332008,66,184,65,0,0,184
530110413332009,15,59,12,0,0,59
530110413332011,15,39,15,0,0,39
530110413332012,21,92,21,0,11,81
530110413332013,17,58,15,0,0,58
530110413332015,19,52,19,0,0,52
530110413332016,19,57,19,0,0,57
530110413332018,5,23,5,0,0,23
530110413332019,11,24,11,0,0,24
530110413341000,129,435,129,0,0,435
530110413341001,15,55,15,0,0,55
530110413341002,19,54,14,0,0,54
530110413341004,2,18,2,0,0,18
530110413341005,11,33,11,0,0,33
530110413341007,22,69,22,0,0,69
530110408102019,16,40,16,0,0,40
530110408102021,8,28,8,0,0,28
530110408102022,4,17,4,0,0,17
530110408102024,17,36,17,0,0,36
530110408111000,80,216,75,0,0,216
530110408111003,30,67,30,0,0,67
530110408111004,89,225,87,0,0,225
530110408111006,44,108,44,0,0,108
530110408111007,14,38,14,0,0,38
530110408111009,18,36,13,0,0,36
530110408111010,18,44,18,0,0,44
530110408111011,13,33,13,0,0,33
530110408111013,8,28,8,0,0,28
530110408111014,7,24,6,0,0,24
530110408111016,8,30,8,0,0,30
530110408111017,36,74,36,0,0,74
530110408112001,16,51,16,0,0,51
530110408112002,13,37,13,0,0,37
530110408112003,7,30,7,0,0,30
530110408112005,3,16,3,0,0,16
530110408112006,14,44,9,0,0,44
530110408112008,3,17,3,0,0,17
530110408112009,24,90,24,0,0,90
530110408112011,101,253,101,0,0,253
530110408112012,1,14,1,0,0,14
530110408112014,25,42,25,0,0,42
530110408112015,151,389,151,0,0,389
530110408112016,15,48,15,0,0,48
530110408112017,23,69,23,0,0,69
530110408112019,31,92,31,0,0,92
530110408112020,11,27,11,0,0,27
530110408112021,82,238,82,0,15,223
530110408112022,11,32,11,0,0,32
530110408112023,13,33,13,0,0,33
530110408121000,8,27,8,0,1,26
530110408123006,17,35,17,0,0,35
530110408123008,50,129,50,0,0,129
530110408123009,12,44,12,0,0,44
530110408123011,15,36,15,0,0,36
530110408123012,14,37,14,0,0,37
530110408123013,16,50,16,0,0,50
530110408123015,88,162,77,0,0,162
530110408123016,68,182,68,0,7,175
530110408123018,18,39,18,0,0,39
530110408123019,3,21,3,0,0,21
530110408123021,75,211,75,0,0,211
530110408123025,2,14,2,0,0,14
530110408123027,40,93,36,0,0,93
530110409041000,113,261,113,0,0,261
530110409041001,12,35,12,0,0,35
530110409041003,21,56,21,0,0,56
530110409041004,19,45,19,0,0,45
530110409041006,11,45,11,0,0,45
530110409041007,46,121,45,0,0,121
530110409041008,44,115,44,0,0,115
530110409041009,12,43,12,0,0,43
530110413341008,23,74,23,0,0,74
530110413341010,10,32,10,0,0,32
530110413341011,24,75,24,0,0,75
530110413341012,53,208,53,0,0,208
530110413341014,21,80,21,0,0,80
530110413342001,62,199,62,0,0,199
530110413342003,16,51,16,0,0,51
530110413342004,60,199,60,0,0,199
530110413342006,1,17,1,0,0,17
530110413342007,155,456,155,0,15,441
530110413342008,8,22,8,0,0,22
530110413342009,6,24,6,0,0,24
530110413342011,6,32,6,0,0,32
530110413342012,8,29,8,0,0,29
530110413342014,40,115,40,0,0,115
530110413342015,41,114,39,0,0,114
530110413342016,13,50,13,0,0,50
530110413342017,15,70,6,0,0,70
530110413351000,111,302,111,0,0,302
530110413351001,31,76,29,0,0,76
530110413351003,65,211,65,0,0,211
530110413351004,33,117,33,0,0,117
530110413351006,25,92,24,0,0,92
530110413351007,41,133,41,0,0,133
530110413351008,13,38,10,0,0,38
530110413351010,47,177,41,0,0,177
530110413351011,12,40,12,0,0,40
530110413351013,19,64,18,0,0,64
530110413351014,69,250,67,0,7,243
530110413351016,17,54,17,0,0,54
530110413351017,12,51,10,0,0,51
530110413351018,12,36,12,0,0,36
530110413351020,25,85,25,0,0,85
530110408121001,99,288,99,0,0,288
530110408121002,73,174,73,0,0,174
530110408121003,17,50,13,0,0,50
530110408121005,84,227,83,0,0,227
530110408121006,31,102,26,0,5,97
530110408121007,55,150,55,0,0,150
530110408121009,11,40,11,0,0,40
530110408122000,245,455,231,0,0,455
530110408122003,16,51,14,0,0,51
530110408122005,85,223,85,0,0,223
530110408122006,3,15,3,0,0,15
530110408122008,95,230,95,0,0,230
530110408122009,4,5,4,0,0,5
530110408123000,9,41,9,0,0,41
530110408123001,33,104,33,0,0,104
530110408123002,22,65,22,0,0,65
530110408123004,19,35,16,0,0,35
530110408123005,19,50,10,0,0,50
530110413353006,17,45,17,0,0,45
530110413353007,86,277,86,0,0,277
530110413353009,5,11,5,0,0,11
530110413353010,5,21,5,0,0,21
530110413353012,5,27,5,0,0,27
530110413353014,21,74,21,0,0,74
530110413353016,14,41,14,0,0,41
530110413353017,10,30,10,0,0,30
530110413353019,16,31,16,0,0,31
530110413353020,14,42,14,0,0,42
530110413353021,18,68,18,0,0,68
530110413353022,41,130,41,0,0,130
530110413353023,99,312,99,0,0,312
530110413353024,14,57,14,0,0,57
530110413353025,14,45,10,0,0,45
530110413353026,10,41,10,0,0,41
530110413353027,14,55,14,0,0,55
530110413353028,16,56,16,0,0,56
530110413353029,29,111,29,0,0,111
530110413353030,123,387,123,0,0,387
530110413353031,20,77,20,0,0,77
530110413353032,20,76,20,0,0,76
530110413353033,10,31,10,0,0,31
530110413353035,16,41,16,0,0,41
530110413353036,16,38,16,0,0,38
530110413361001,850,2060,813,0,0,2060
530110413361002,26,60,26,0,0,60
530110409041010,17,55,17,0,0,55
530110409041011,57,128,57,0,0,128
530110409041012,18,57,18,0,0,57
530110409041013,19,61,19,0,0,61
530110409041014,27,75,27,0,0,75
530110409041015,31,110,31,0,0,110
530110409041016,21,74,21,0,0,74
530110409041017,23,56,23,0,0,56
530110409041018,71,171,71,0,0,171
530110409041019,6,21,0,0,0,21
530110409041020,13,35,13,0,0,35
530110409041021,70,194,70,0,0,194
530110409042000,61,114,55,0,0,114
530110409042001,31,59,31,0,0,59
530110409042003,71,193,71,0,0,193
530110409042004,143,363,143,0,0,363
530110409042005,124,347,124,0,0,347
530110409042007,2,17,2,0,0,17
530110409042008,16,61,16,0,0,61
530110409042010,14,32,14,0,0,32
530110409042011,10,30,10,0,0,30
530110409042013,113,247,113,0,0,247
530110409042014,10,42,10,0,0,42
530110409042015,7,34,0,0,0,34
530110409042017,5,14,5,0,0,14
530110409042018,19,61,19,0,0,61
530110409042020,14,85,14,0,0,85
530110409042021,31,88,30,0,0,88
530110409043000,3,15,3,0,0,15
530110409043005,151,364,146,0,0,364
530110409043007,12,62,12,0,0,62
530110409043008,10,34,10,0,0,34
530110409043010,45,128,45,0,0,128
530110409043011,13,43,13,0,6,37
530110413351021,8,46,8,0,0,46
530110413352001,12,26,12,0,0,26
530110413352002,84,254,77,0,5,249
530110413352004,16,58,16,0,0,58
530110413352005,28,84,28,0,0,84
530110413352008,14,43,14,0,0,43
530110413352009,28,98,28,0,0,98
530110413352012,27,53,27,0,0,53
530110413352014,23,59,23,0,0,59
530110413353000,64,215,64,0,0,215
530110413353002,30,107,30,0,0,107
530110413353003,11,31,11,0,0,31
530110413353004,21,80,21,0,0,80
530110413353005,20,46,20,0,0,46
530110413361003,49,135,44,0,0,135
530110413361005,14,46,14,0,0,46
530110413362000,107,237,107,0,0,237
530110413362002,4,31,4,0,0,31
530110413362003,44,121,42,0,0,121
530110413362005,8,37,5,0,0,37
530110413362006,41,127,41,0,0,127
530110413362007,10,33,10,0,0,33
530110413362009,9,44,8,0,0,44
530110413371000,66,163,64,0,0,163
530110413371002,31,79,31,0,0,79
530110413371003,35,90,30,0,0,90
530110413371005,73,187,71,0,0,187
530110413371006,8,23,8,0,0,23
530110413371007,21,66,12,0,0,66
530110413371009,29,71,29,0,0,71
530110413371010,16,52,16,0,0,52
530110413371012,105,229,102,0,0,229
530110413371013,45,109,43,0,0,109
530110413372001,13,47,13,0,0,47
530110413372002,31,82,31,0,0,82
530110413372003,16,58,16,0,0,58
530110413372004,14,25,14,0,0,25
530110413372005,31,70,30,0,0,70
530110413372006,25,52,12,0,0,52
530110413372007,388,521,345,0,2,519
530110413372008,1,15,0,0,0,15
530110414001001,20,55,20,0,0,55
530110414001002,16,38,16,0,0,38
530110414001003,12,35,12,0,0,35
530110414001004,6,14,6,0,0,14
530110414001005,12,37,12,0,0,37
530110414001007,18,47,18,0,0,47
530110414001008,10,14,10,0,0,14
530110409043013,21,69,21,0,0,69
530110409043014,15,54,11,0,0,54
530110409044000,367,634,354,0,0,634
530110409044001,306,490,289,0,0,490
530110409044003,25,72,25,0,0,72
