"BLOCK","NAME","GQ_HH","GQ_Inst","GQ_Inst_Cor","GQ_Inst_Juv","GQ_Inst_Nur","GQ_Inst_Oth","GQ_Non","GQ_Non_Uni","GQ_Non_Mil","GQ_Non_Oth"
410390048001001,"Block 1001, Block Group 1, Census Tract 48, Lane County, Oregon",30,0,0,0,0,0,30,30,0,0
410390048001002,"Block 1002, Block Group 1, Census Tract 48, Lane County, Oregon",14,0,0,0,0,0,14,14,0,0
410390049002018,"Block 2018, Block Group 2, Census Tract 49, Lane County, Oregon",19,0,0,0,0,0,19,19,0,0
410390049002019,"Block 2019, Block Group 2, Census Tract 49, Lane County, Oregon",10,0,0,0,0,0,10,10,0,0
410390049002023,"Block 2023, Block Group 2, Census Tract 49, Lane County, Oregon",14,0,0,0,0,0,14,14,0,0
410419517001024,"Block 1024, Block Group 1, Census Tract 9517, Lincoln County, Oregon",212,0,0,0,0,0,212,212,0,0
410390048001018,"Block 1018, Block Group 1, Census Tract 48, Lane County, Oregon",9,0,0,0,0,0,9,9,0,0
410390038013006,"Block 3006, Block Group 3, Census Tract 38.01, Lane County, Oregon",15,0,0,0,0,0,15,15,0,0
410390038022000,"Block 2000, Block Group 2, Census Tract 38.02, Lane County, Oregon",75,0,0,0,0,0,75,75,0,0
410530203031033,"Block 1033, Block Group 1, Census Tract 203.03, Polk County, Oregon",243,0,0,0,0,0,243,243,0,0
410530203031034,"Block 1034, Block Group 1, Census Tract 203.03, Polk County, Oregon",561,0,0,0,0,0,561,561,0,0
410530203031035,"Block 1035, Block Group 1, Census Tract 203.03, Polk County, Oregon",19,0,0,0,0,0,19,19,0,0
410530203041017,"Block 1017, Block Group 1, Census Tract 203.04, Polk County, Oregon",277,0,0,0,0,0,277,277,0,0
410510056021002,"Block 1002, Block Group 1, Census Tract 56.02, Multnomah County, Oregon",100,0,0,0,0,0,100,100,0,0
410470017021000,"Block 1000, Block Group 1, Census Tract 17.02, Marion County, Oregon",21,0,0,0,0,0,21,21,0,0
410510056022006,"Block 2006, Block Group 2, Census Tract 56.02, Multnomah County, Oregon",23,0,0,0,0,0,23,23,0,0
410510056022009,"Block 2009, Block Group 2, Census Tract 56.02, Multnomah County, Oregon",140,0,0,0,0,0,140,140,0,0
410510056023004,"Block 3004, Block Group 3, Census Tract 56.02, Multnomah County, Oregon",203,0,0,0,0,0,203,203,0,0
410510063001026,"Block 1026, Block Group 1, Census Tract 63, Multnomah County, Oregon",835,0,0,0,0,0,835,835,0,0
410510003012007,"Block 2007, Block Group 2, Census Tract 3.01, Multnomah County, Oregon",477,0,0,0,0,0,477,477,0,0
410510003012020,"Block 2020, Block Group 2, Census Tract 3.01, Multnomah County, Oregon",134,0,0,0,0,0,134,134,0,0
410510003012033,"Block 2033, Block Group 2, Census Tract 3.01, Multnomah County, Oregon",111,0,0,0,0,0,111,111,0,0
410510063002018,"Block 2018, Block Group 2, Census Tract 63, Multnomah County, Oregon",374,0,0,0,0,0,374,374,0,0
410510040021021,"Block 1021, Block Group 1, Census Tract 40.02, Multnomah County, Oregon",206,0,0,0,0,0,206,206,0,0
410510029031002,"Block 1002, Block Group 1, Census Tract 29.03, Multnomah County, Oregon",64,0,0,0,0,0,64,64,0,0
410510029031007,"Block 1007, Block Group 1, Census Tract 29.03, Multnomah County, Oregon",28,0,0,0,0,0,28,28,0,0
410510003012011,"Block 2011, Block Group 2, Census Tract 3.01, Multnomah County, Oregon",210,0,0,0,0,0,210,75,0,135
410510040021035,"Block 1035, Block Group 1, Census Tract 40.02, Multnomah County, Oregon",150,0,0,0,0,0,150,150,0,0
410470104005042,"Block 5042, Block Group 5, Census Tract 104, Marion County, Oregon",125,0,0,0,0,0,125,57,0,68
410470018032007,"Block 2007, Block Group 2, Census Tract 18.03, Marion County, Oregon",71,0,0,0,0,0,71,71,0,0
410470018032038,"Block 2038, Block Group 2, Census Tract 18.03, Marion County, Oregon",386,0,0,0,0,0,386,386,0,0
410510016014011,"Block 4011, Block Group 4, Census Tract 16.01, Multnomah County, Oregon",45,0,0,0,0,0,45,45,0,0
