"BLOCK","NAME","GQ_HH","GQ_Inst","GQ_Inst_Cor","GQ_Inst_Juv","GQ_Inst_Nur","GQ_Inst_Oth","GQ_Non","GQ_Non_Uni","GQ_Non_Mil","GQ_Non_Oth"
530110413201007,"Block 1007, Block Group 1, Census Tract 413.20, Clark County, Washington",14,0,0,0,0,0,14,0,0,14
530110413212007,"Block 2007, Block Group 2, Census Tract 413.21, Clark County, Washington",5,0,0,0,0,0,5,0,0,5
530110413221004,"Block 1004, Block Group 1, Census Tract 413.22, Clark County, Washington",1,0,0,0,0,0,1,0,0,1
530110413223000,"Block 3000, Block Group 3, Census Tract 413.22, Clark County, Washington",11,0,0,0,0,0,11,0,0,11
530110413231002,"Block 1002, Block Group 1, Census Tract 413.23, Clark County, Washington",11,0,0,0,0,0,11,0,0,11
530110413231005,"Block 1005, Block Group 1, Census Tract 413.23, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110413231007,"Block 1007, Block Group 1, Census Tract 413.23, Clark County, Washington",5,0,0,0,0,0,5,0,0,5
530110413232005,"Block 2005, Block Group 2, Census Tract 413.23, Clark County, Washington",1,0,0,0,0,0,1,0,0,1
530110413233001,"Block 3001, Block Group 3, Census Tract 413.23, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110413233005,"Block 3005, Block Group 3, Census Tract 413.23, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110413233007,"Block 3007, Block Group 3, Census Tract 413.23, Clark County, Washington",11,0,0,0,0,0,11,0,0,11
530110413234013,"Block 4013, Block Group 4, Census Tract 413.23, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110408034001,"Block 4001, Block Group 4, Census Tract 408.03, Clark County, Washington",3,0,0,0,0,0,3,0,0,3
530110413261006,"Block 1006, Block Group 1, Census Tract 413.26, Clark County, Washington",1,0,0,0,0,0,1,0,0,1
530110413261011,"Block 1011, Block Group 1, Census Tract 413.26, Clark County, Washington",9,0,0,0,0,0,9,0,0,9
530110413261013,"Block 1013, Block Group 1, Census Tract 413.26, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110408062000,"Block 2000, Block Group 2, Census Tract 408.06, Clark County, Washington",5,0,0,0,0,0,5,0,0,5
530110408063013,"Block 3013, Block Group 3, Census Tract 408.06, Clark County, Washington",6,0,0,0,0,0,6,0,0,6
530110408093004,"Block 3004, Block Group 3, Census Tract 408.09, Clark County, Washington",6,0,0,0,0,0,6,0,0,6
530110413302004,"Block 2004, Block Group 2, Census Tract 413.30, Clark County, Washington",4,0,0,0,0,0,4,0,0,4
530110413312004,"Block 2004, Block Group 2, Census Tract 413.31, Clark County, Washington",12,0,0,0,0,0,12,0,0,12
530110413321000,"Block 1000, Block Group 1, Census Tract 413.32, Clark County, Washington",4,0,0,0,0,0,4,0,0,4
530110413332002,"Block 2002, Block Group 2, Census Tract 413.33, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110413332012,"Block 2012, Block Group 2, Census Tract 413.33, Clark County, Washington",11,0,0,0,0,0,11,0,0,11
530110408112021,"Block 2021, Block Group 2, Census Tract 408.11, Clark County, Washington",15,0,0,0,0,0,15,0,0,15
530110408121000,"Block 1000, Block Group 1, Census Tract 408.12, Clark County, Washington",1,0,0,0,0,0,1,0,0,1
530110408123016,"Block 3016, Block Group 3, Census Tract 408.12, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110413342007,"Block 2007, Block Group 2, Census Tract 413.34, Clark County, Washington",15,0,0,0,0,0,15,0,0,15
530110413351014,"Block 1014, Block Group 1, Census Tract 413.35, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110408121006,"Block 1006, Block Group 1, Census Tract 408.12, Clark County, Washington",5,0,0,0,0,0,5,0,0,5
530110409043011,"Block 3011, Block Group 3, Census Tract 409.04, Clark County, Washington",6,0,0,0,0,0,6,0,0,6
530110413352002,"Block 2002, Block Group 2, Census Tract 413.35, Clark County, Washington",5,0,0,0,0,0,5,0,0,5
530110413372007,"Block 2007, Block Group 2, Census Tract 413.37, Clark County, Washington",2,0,0,0,0,0,2,0,0,2
530110413091000,"Block 1000, Block Group 1, Census Tract 413.09, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110413091001,"Block 1001, Block Group 1, Census Tract 413.09, Clark County, Washington",13,0,0,0,0,0,13,0,0,13
530110413091002,"Block 1002, Block Group 1, Census Tract 413.09, Clark County, Washington",10,0,0,0,0,0,10,0,0,10
530110413093000,"Block 3000, Block Group 3, Census Tract 413.09, Clark County, Washington",25,0,0,0,0,0,25,0,0,25
530110413093002,"Block 3002, Block Group 3, Census Tract 413.09, Clark County, Washington",9,0,0,0,0,0,9,0,0,9
530110413101001,"Block 1001, Block Group 1, Census Tract 413.10, Clark County, Washington",12,0,0,0,0,0,12,0,0,12
530110413101003,"Block 1003, Block Group 1, Census Tract 413.10, Clark County, Washington",13,0,0,0,0,0,13,0,0,13
530110413101006,"Block 1006, Block Group 1, Census Tract 413.10, Clark County, Washington",11,0,0,0,0,0,11,0,0,11
530110413123000,"Block 3000, Block Group 3, Census Tract 413.12, Clark County, Washington",4,0,0,0,0,0,4,0,0,4
530110413171016,"Block 1016, Block Group 1, Census Tract 413.17, Clark County, Washington",8,0,0,0,0,0,8,0,0,8
530110413173000,"Block 3000, Block Group 3, Census Tract 413.17, Clark County, Washington",14,0,0,0,0,0,14,0,0,14
530110413191004,"Block 1004, Block Group 1, Census Tract 413.19, Clark County, Washington",6,0,0,0,0,0,6,0,0,6
530110405071021,"Block 1021, Block Group 1, Census Tract 405.07, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110403032037,"Block 2037, Block Group 2, Census Tract 403.03, Clark County, Washington",24,0,0,0,0,0,24,0,0,24
530110402012008,"Block 2008, Block Group 2, Census Tract 402.01, Clark County, Washington",15,0,0,0,0,0,15,0,0,15
530110407031017,"Block 1017, Block Group 1, Census Tract 407.03, Clark County, Washington",9,0,0,0,0,0,9,0,0,9
530110407032006,"Block 2006, Block Group 2, Census Tract 407.03, Clark County, Washington",3,0,0,0,0,0,3,0,0,3
530110407034000,"Block 4000, Block Group 4, Census Tract 407.03, Clark County, Washington",17,0,0,0,0,0,17,0,0,17
530110407062000,"Block 2000, Block Group 2, Census Tract 407.06, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110407124017,"Block 4017, Block Group 4, Census Tract 407.12, Clark County, Washington",5,0,0,0,0,0,5,0,0,5
530110407073006,"Block 3006, Block Group 3, Census Tract 407.07, Clark County, Washington",15,0,0,0,0,0,15,0,0,15
530110407073013,"Block 3013, Block Group 3, Census Tract 407.07, Clark County, Washington",6,0,0,0,0,0,6,0,0,6
530110407133005,"Block 3005, Block Group 3, Census Tract 407.13, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110404031032,"Block 1032, Block Group 1, Census Tract 404.03, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110404082003,"Block 2003, Block Group 2, Census Tract 404.08, Clark County, Washington",16,0,0,0,0,0,16,0,0,16
530110404082011,"Block 2011, Block Group 2, Census Tract 404.08, Clark County, Washington",6,0,0,0,0,0,6,0,0,6
530110404082014,"Block 2014, Block Group 2, Census Tract 404.08, Clark County, Washington",15,0,0,0,0,0,15,0,0,15
530110404083001,"Block 3001, Block Group 3, Census Tract 404.08, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110404111007,"Block 1007, Block Group 1, Census Tract 404.11, Clark County, Washington",8,0,0,0,0,0,8,0,0,8
530110404112004,"Block 2004, Block Group 2, Census Tract 404.11, Clark County, Washington",54,0,0,0,0,0,54,0,0,54
530110405132021,"Block 2021, Block Group 2, Census Tract 405.13, Clark County, Washington",15,0,0,0,0,0,15,0,0,15
