PUMA,BLOCK,hh_id
100,410619707002014,37
100,410619707002014,37
100,410619707002014,37
100,410619707002014,37
100,410619707002014,37
100,410619707002014,37
100,410619707002014,37
100,410619707002014,54
100,410619707002014,54
100,410619707002014,54
100,410619707002014,54
100,410619707002014,146
100,410619707002014,188
100,410619707002014,188
100,410619707002014,257
100,410619707002014,257
100,410619707002014,257
100,410619707002014,275
100,410619707002014,330
100,410619707002014,358
100,410619707002014,358
100,410619707002014,358
100,410619707002014,358
100,410619707002014,447
100,410619707002014,447
100,410619707002014,518
100,410619707002014,518
100,410619707002014,518
100,410619707002014,518
100,410619707002014,595
100,410619707002014,595
100,410619707002014,680
100,410619707002014,680
100,410619707002014,680
100,410619707002014,756
100,410619707002014,756
100,410619707002014,756
100,410619707002014,756
100,410619707002014,756
100,410619707002014,756
100,410619707002014,826
100,410619707002014,826
100,410619707002014,826
100,410619707002014,852
100,410619707002014,852
100,410619707002014,881
100,410619707002014,881
100,410619707002014,900
100,410619707002014,900
100,410619707002014,900
100,410619707002014,905
100,410619707002014,905
100,410619707002014,1045
100,410619707002014,1045
100,410619707002014,1045
100,410619707002014,1112
100,410619707002014,1112
100,410619707002014,1127
100,410619707002014,1127
100,410619707002014,1257
100,410619707002014,1257
100,410619707002014,1290
100,410619707002014,1294
100,410619707002014,1294
100,410619707002014,1294
100,410619707002014,1348
100,410619707002014,1358
100,410619707002014,1358
100,410619707002014,1358
100,410619707002014,1358
100,410619707002014,1358
100,410619707002014,1358
100,410619707002014,1368
100,410619707002014,1368
100,410619707002014,1368
100,410619707002014,1368
100,410619707002014,1372
100,410619707002014,1396
100,410619707002014,1410
100,410619707002014,1469
100,410619707002014,1469
100,410619707002014,1469
100,410619707002014,1469
100,410619707002014,1469
100,410619707002014,1469
100,410619707002014,1469
100,410619707002014,1516
100,410619707002014,1516
100,410619707002014,1516
100,410619707002014,1610
100,410619707002014,1610
100,410619707002014,1610
100,410619707002014,1610
100,410619707002014,1610
100,410619707002014,1620
100,410619707002014,1620
100,410619707002014,1683
100,410619707002014,1683
100,410619707002014,1691
100,410619707002014,1691
100,410619707002014,1691
100,410619707002014,1766
100,410619707002014,1766
100,410619707002014,1766
100,410619707002014,1766
100,410619707002014,1942
100,410619707002014,1942
100,410619707002014,1983
100,410619707002014,1983
