geography,id,num_hh_control,num_hh_result,num_hh_diff
BLOCK,410190200004024,19,19,0
BLOCK,410110005021017,8,8,0
BLOCK,410079502004013,7,7,0
BLOCK,410079503001004,51,51,0
BLOCK,410159504021006,4,4,0
BLOCK,410079503003008,27,27,0
BLOCK,410419511001023,11,11,0
BLOCK,410579602002037,15,15,0
BLOCK,410110005021091,3,3,0
