geography,id,num_hh_control,num_hh_result,num_hh_diff
BLOCK,530110410034012,4,4,0
BLOCK,530110410034013,19,19,0
BLOCK,530110410034014,43,43,0
BLOCK,530110410034016,19,19,0
BLOCK,530110410034017,18,18,0
BLOCK,530110410051001,194,194,0
BLOCK,530110410051002,20,20,0
BLOCK,530110410051004,116,116,0
BLOCK,530110410051005,25,25,0
BLOCK,530110410051006,37,37,0
BLOCK,530110410051008,46,46,0
BLOCK,530110410051009,11,11,0
BLOCK,530110410052054,52,52,0
BLOCK,530110410052057,4,4,0
BLOCK,530110410052058,116,116,0
BLOCK,530110410071000,56,56,0
BLOCK,530110410071001,16,16,0
BLOCK,530110410071002,59,59,0
BLOCK,530110410071003,18,18,0
BLOCK,530110410071004,9,9,0
BLOCK,530110410071005,12,12,0
BLOCK,530110410071006,43,43,0
BLOCK,530110410071007,18,18,0
BLOCK,530110410071008,13,13,0
BLOCK,530110410071009,14,14,0
BLOCK,530110410071010,7,7,0
BLOCK,530110418003006,8,8,0
BLOCK,530110418003008,18,18,0
BLOCK,530110418003011,6,6,0
BLOCK,530110418003012,11,11,0
BLOCK,530110418003014,9,9,0
BLOCK,530110418003015,9,9,0
BLOCK,530110418003016,9,9,0
BLOCK,530110419001014,11,11,0
BLOCK,530110419001015,12,12,0
BLOCK,530110419001016,10,10,0
BLOCK,530110419001017,4,4,0
BLOCK,530110419001018,11,11,0
BLOCK,530110419001022,12,12,0
BLOCK,530110419001023,10,10,0
BLOCK,530110419001024,10,10,0
BLOCK,530110419001025,23,23,0
BLOCK,530110419001030,178,178,0
BLOCK,530110419001031,10,10,0
BLOCK,530110419001032,8,8,0
BLOCK,530110419001034,7,7,0
BLOCK,530110419001035,8,8,0
BLOCK,530110419001037,9,9,0
BLOCK,530110419001038,2,2,0
BLOCK,530110419001040,8,8,0
BLOCK,530110419001041,10,10,0
BLOCK,530110419002002,4,4,0
BLOCK,530110419002004,8,8,0
BLOCK,530110419002005,7,7,0
BLOCK,530110419002007,9,9,0
BLOCK,530110419002008,13,13,0
BLOCK,530110419002010,9,9,0
BLOCK,530110419002011,22,22,0
BLOCK,530110419002013,9,9,0
BLOCK,530110419002014,8,8,0
BLOCK,530110419002018,5,5,0
BLOCK,530110419002020,59,59,0
BLOCK,530110410051011,29,29,0
BLOCK,530110410051012,11,11,0
BLOCK,530110410051014,8,8,0
BLOCK,530110410051015,46,46,0
BLOCK,530110410051016,16,16,0
BLOCK,530110410051018,7,7,0
BLOCK,530110410051019,12,12,0
BLOCK,530110410052009,1,1,0
BLOCK,530110410052025,27,27,0
BLOCK,530110410071013,41,41,0
BLOCK,530110410071015,16,16,0
BLOCK,530110410071016,12,12,0
BLOCK,530110410071017,41,41,0
BLOCK,530110410072001,39,39,0
BLOCK,530110410072004,214,214,0
BLOCK,530110410072006,6,6,0
BLOCK,530110410072007,8,8,0
BLOCK,530110410072008,11,11,0
BLOCK,530110410072010,16,16,0
BLOCK,530110410072011,68,68,0
BLOCK,530110410072013,8,8,0
BLOCK,530110410072016,68,68,0
BLOCK,530110410073000,58,58,0
BLOCK,530110410073001,10,10,0
BLOCK,530110410073003,39,39,0
BLOCK,530110410073004,15,15,0
BLOCK,530110410073006,15,15,0
BLOCK,530110410073007,12,12,0
BLOCK,530110410073009,49,49,0
BLOCK,530110410081001,6,6,0
BLOCK,530110410081002,16,16,0
BLOCK,530110410081003,52,52,0
BLOCK,530110410081004,9,9,0
BLOCK,530110410081005,53,53,0
BLOCK,530110410081006,16,16,0
BLOCK,530110410081007,33,33,0
BLOCK,530110410081008,21,21,0
BLOCK,530110410081009,36,36,0
BLOCK,530110410081010,21,21,0
BLOCK,530110410081011,43,43,0
BLOCK,530110410081012,45,45,0
BLOCK,530110419002021,8,8,0
BLOCK,530110419002023,9,9,0
BLOCK,530110419002024,6,6,0
BLOCK,530110419002026,2,2,0
BLOCK,530110419002027,4,4,0
BLOCK,530110419002028,7,7,0
BLOCK,530110419002029,7,7,0
BLOCK,530110419002030,8,8,0
BLOCK,530110419002031,15,15,0
BLOCK,530110419002032,5,5,0
BLOCK,530110419002033,4,4,0
BLOCK,530110419002034,14,14,0
BLOCK,530110419002035,7,7,0
BLOCK,530110419002037,5,5,0
BLOCK,530110419002040,54,54,0
BLOCK,530110419002043,2,2,0
BLOCK,530110419002044,4,4,0
BLOCK,530110420001000,123,123,0
BLOCK,530110420001001,11,11,0
BLOCK,530110420001003,3,3,0
BLOCK,530110420001004,10,10,0
BLOCK,530110420001006,8,8,0
BLOCK,530110420001007,23,23,0
BLOCK,530110420001008,17,17,0
BLOCK,530110420001010,13,13,0
BLOCK,530110420001011,12,12,0
BLOCK,530110420001013,6,6,0
BLOCK,530110420001014,10,10,0
BLOCK,530110420001016,2,2,0
BLOCK,530110420001017,10,10,0
BLOCK,530110420002001,12,12,0
BLOCK,530110420002002,27,27,0
BLOCK,530110420002003,28,28,0
BLOCK,530110420002006,27,27,0
BLOCK,530110410052041,1,1,0
BLOCK,530110410052046,9,9,0
BLOCK,530110420002020,7,7,0
BLOCK,530110421001000,9,9,0
BLOCK,530110421001002,15,15,0
BLOCK,530110421001003,8,8,0
BLOCK,530110421001004,10,10,0
BLOCK,530110421001005,5,5,0
BLOCK,530110421001006,11,11,0
BLOCK,530110421001007,8,8,0
BLOCK,530110421001008,12,12,0
BLOCK,530110421001009,11,11,0
BLOCK,530110421001010,11,11,0
BLOCK,530110421001011,11,11,0
BLOCK,530110421001012,9,9,0
BLOCK,530110421001013,12,12,0
BLOCK,530110421001014,12,12,0
BLOCK,530110421001015,14,14,0
BLOCK,530110421001016,16,16,0
BLOCK,530110421001017,13,13,0
BLOCK,530110421001018,10,10,0
BLOCK,530110421001020,19,19,0
BLOCK,530110421001021,17,17,0
BLOCK,530110421001022,16,16,0
BLOCK,530110421001024,13,13,0
BLOCK,530110421001025,12,12,0
BLOCK,530110421001027,13,13,0
BLOCK,530110421001028,12,12,0
BLOCK,530110421001030,13,13,0
BLOCK,530110421001031,17,17,0
BLOCK,530110421001033,15,15,0
BLOCK,530110410081013,1,1,0
BLOCK,530110410081016,36,36,0
BLOCK,530110410082000,83,83,0
BLOCK,530110410082002,10,10,0
BLOCK,530110410082003,10,10,0
BLOCK,530110410082004,45,45,0
BLOCK,530110410082006,31,31,0
BLOCK,530110410082007,52,52,0
BLOCK,530110410082009,13,13,0
BLOCK,530110410082010,58,58,0
