geography,id,num_hh_control,hh_by_type_sf_control,hh_by_type_sfa_control,hh_by_type_dup_control,hh_by_type_mf4_control,hh_by_type_mf9_control,hh_by_type_mf19_control,hh_by_type_mf49_control,hh_by_type_mf50_control,hh_by_type_mh_control,hh_by_type_rv_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_control,hh_size_5_control,hh_size_6_control,hh_size_7_control,hh_inc_1_control,hh_inc_2_control,hh_inc_3_control,hh_inc_4_control,hh_inc_5_control,hh_inc_6_control,hh_inc_7_control,hh_inc_8_control,hh_inc_9_control,hhkid_control,hh_veh_0_control,hh_veh_1_control,hh_veh_2_control,hh_veh_3_control,hh_veh_4_control,hh_veh_5_control,hh_age_1_control,hh_age_2_control,hh_age_3_control,hh_age_4_control,hh_age_5_control,hh_age_6_control,hh_age_7_control,hh_age_8_control,hh_age_9_control,hh_age_10_control,hh_age_11_control,hh_age_12_control,persons_occ_1_control,persons_occ_2_control,persons_occ_4_control,persons_occ_5_control,persons_occ_6_control,hh_wrks_0_control,hh_wrks_1_control,hh_wrks_2_control,hh_wrks_3_plus_control,num_hh_result,hh_by_type_sf_result,hh_by_type_sfa_result,hh_by_type_dup_result,hh_by_type_mf4_result,hh_by_type_mf9_result,hh_by_type_mf19_result,hh_by_type_mf49_result,hh_by_type_mf50_result,hh_by_type_mh_result,hh_by_type_rv_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_result,hh_size_5_result,hh_size_6_result,hh_size_7_result,hh_inc_1_result,hh_inc_2_result,hh_inc_3_result,hh_inc_4_result,hh_inc_5_result,hh_inc_6_result,hh_inc_7_result,hh_inc_8_result,hh_inc_9_result,hhkid_result,hh_veh_0_result,hh_veh_1_result,hh_veh_2_result,hh_veh_3_result,hh_veh_4_result,hh_veh_5_result,hh_age_1_result,hh_age_2_result,hh_age_3_result,hh_age_4_result,hh_age_5_result,hh_age_6_result,hh_age_7_result,hh_age_8_result,hh_age_9_result,hh_age_10_result,hh_age_11_result,hh_age_12_result,persons_occ_1_result,persons_occ_2_result,persons_occ_4_result,persons_occ_5_result,persons_occ_6_result,hh_wrks_0_result,hh_wrks_1_result,hh_wrks_2_result,hh_wrks_3_plus_result,num_hh_diff,hh_by_type_sf_diff,hh_by_type_sfa_diff,hh_by_type_dup_diff,hh_by_type_mf4_diff,hh_by_type_mf9_diff,hh_by_type_mf19_diff,hh_by_type_mf49_diff,hh_by_type_mf50_diff,hh_by_type_mh_diff,hh_by_type_rv_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_diff,hh_size_5_diff,hh_size_6_diff,hh_size_7_diff,hh_inc_1_diff,hh_inc_2_diff,hh_inc_3_diff,hh_inc_4_diff,hh_inc_5_diff,hh_inc_6_diff,hh_inc_7_diff,hh_inc_8_diff,hh_inc_9_diff,hhkid_diff,hh_veh_0_diff,hh_veh_1_diff,hh_veh_2_diff,hh_veh_3_diff,hh_veh_4_diff,hh_veh_5_diff,hh_age_1_diff,hh_age_2_diff,hh_age_3_diff,hh_age_4_diff,hh_age_5_diff,hh_age_6_diff,hh_age_7_diff,hh_age_8_diff,hh_age_9_diff,hh_age_10_diff,hh_age_11_diff,hh_age_12_diff,persons_occ_1_diff,persons_occ_2_diff,persons_occ_4_diff,persons_occ_5_diff,persons_occ_6_diff,hh_wrks_0_diff,hh_wrks_1_diff,hh_wrks_2_diff,hh_wrks_3_plus_diff
TRACT,53011040407,2247,1398,138,34,155,63,39,22,225,173,0,521,636,378,324,121,92,175,107,47,84,235,312,429,575,291,167,922,178,511,891,302,331,34,420,450,431,432,865,719,932,568,524,339,147,103,1107,369,523,427,716,355,834,924,134,2247,1400,138,34,154,63,39,22,224,173,0,584,670,375,302,106,76,134,107,47,84,237,312,428,574,291,167,919,178,512,891,303,330,33,445,476,456,457,919,767,994,609,562,363,157,110,1147,384,544,448,740,367,842,913,125,0,2,0,0,-1,0,0,0,-1,0,0,63,34,-3,-22,-15,-16,-41,0,0,0,2,0,-1,-1,0,0,-3,0,1,0,1,-1,-1,25,26,25,25,54,48,62,41,38,24,10,7,40,15,21,21,24,12,8,-11,-9
TRACT,53011040408,1281,1194,15,8,0,0,0,0,0,64,0,169,614,135,235,64,50,14,31,17,74,27,195,134,309,232,262,306,21,135,478,348,212,87,111,165,210,216,341,234,280,552,749,708,249,54,760,201,366,129,109,392,397,401,91,1281,1194,15,8,0,0,0,0,0,64,0,156,586,133,235,66,53,17,31,17,74,27,195,134,309,232,262,306,21,135,478,349,211,87,108,161,204,210,331,227,272,535,731,689,241,54,743,200,361,129,109,388,395,403,95,0,0,0,0,0,0,0,0,0,0,0,-13,-28,-2,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-3,-4,-6,-6,-10,-7,-8,-17,-18,-19,-8,0,-17,-1,-5,0,0,-4,-2,2,4
TRACT,53011040409,815,695,112,8,0,0,0,0,0,0,0,88,416,109,70,73,42,17,5,16,42,33,73,145,200,121,180,239,6,149,336,188,110,26,114,115,175,69,58,259,295,206,313,346,162,68,519,55,180,44,160,285,199,276,55,815,695,112,8,0,0,0,0,0,0,0,93,426,107,68,68,38,15,5,16,42,33,73,144,200,122,180,237,6,149,336,187,111,26,115,117,179,71,60,268,301,213,323,356,167,71,534,57,186,47,162,291,201,271,52,0,0,0,0,0,0,0,0,0,0,0,5,10,-2,-2,-5,-4,-2,0,0,0,0,0,-1,0,1,0,-2,0,0,0,-1,1,0,1,2,4,2,2,9,6,7,10,10,5,3,15,2,6,3,2,6,2,-5,-3
TRACT,53011040411,1008,254,149,14,57,140,63,17,306,0,8,411,319,76,114,80,8,0,17,62,83,94,131,121,308,73,119,207,93,378,360,127,50,0,132,62,119,99,174,226,233,396,181,157,196,81,600,136,206,85,161,276,406,284,42,1008,254,149,14,57,140,64,16,307,0,7,428,318,73,108,73,7,0,17,62,82,94,131,122,308,73,119,208,93,378,360,127,50,0,134,66,125,102,180,235,241,411,187,162,203,83,585,133,201,83,158,264,406,293,45,0,0,0,0,0,0,1,-1,1,0,-1,17,-1,-3,-6,-7,-1,0,0,0,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,4,6,3,6,9,8,15,6,5,7,2,-15,-3,-5,-2,-3,-12,0,9,3
TRACT,53011040412,2276,1548,411,0,67,53,99,19,67,12,0,465,840,497,349,71,19,35,78,21,87,243,302,422,503,167,453,748,5,754,1097,260,85,75,480,529,262,216,497,693,702,1006,549,513,366,90,1297,431,615,107,301,446,1022,742,66,2276,1548,411,0,67,53,99,19,67,12,0,462,834,494,350,72,20,37,78,21,87,244,302,421,503,166,454,751,5,755,1095,260,86,75,475,522,260,215,493,692,696,1001,550,514,365,90,1326,443,628,110,307,458,1025,728,65,0,0,0,0,0,0,0,0,0,0,0,-3,-6,-3,1,1,1,2,0,0,0,1,0,-1,0,-1,1,3,0,1,-2,0,1,0,-5,-7,-2,-1,-4,-1,-6,-5,1,1,-1,0,29,12,13,3,6,12,3,-14,-1
TRACT,53011040413,1120,742,60,0,24,28,124,45,84,13,0,236,427,179,121,92,35,30,50,78,77,96,155,215,261,106,82,370,76,268,412,201,83,80,151,193,179,224,376,518,354,461,339,257,134,75,428,333,403,197,236,248,380,406,86,1120,743,60,0,24,28,123,45,84,13,0,226,420,178,123,95,37,35,50,78,77,96,155,214,261,106,83,370,76,268,411,201,84,80,148,188,177,219,369,507,348,453,333,252,132,74,417,324,393,192,233,243,375,411,91,0,1,0,0,0,0,-1,0,0,0,0,-10,-7,-1,2,3,2,5,0,0,0,0,0,-1,0,0,1,0,0,0,-1,0,1,0,-3,-5,-2,-5,-7,-11,-6,-8,-6,-5,-2,-1,-11,-9,-10,-5,-3,-5,-5,5,5
TRACT,53011040414,2089,1881,51,0,38,0,38,33,13,35,0,273,613,324,527,138,111,103,105,26,67,74,373,324,514,333,273,935,27,327,805,687,129,114,640,514,372,316,759,750,962,997,565,459,354,15,1135,318,581,211,419,413,748,701,227,2089,1882,51,0,38,0,37,33,13,35,0,276,618,323,523,137,108,104,104,26,67,74,374,324,513,334,273,935,27,326,805,687,130,114,644,519,375,319,762,757,970,1006,570,465,356,15,1181,336,609,224,440,435,757,684,213,0,1,0,0,0,0,-1,0,0,0,0,3,5,-1,-4,-1,-3,1,-1,0,0,0,1,0,-1,1,0,0,0,-1,0,0,1,0,4,5,3,3,3,7,8,9,5,6,2,0,46,18,28,13,21,22,9,-17,-14
TRACT,53011040415,1584,1344,17,48,84,12,9,64,0,6,0,237,717,210,214,99,107,0,100,60,111,93,438,195,325,243,19,427,15,321,612,450,133,53,285,220,201,183,469,663,771,406,412,606,308,67,488,310,339,268,435,446,633,422,83,1584,1344,17,48,84,12,9,64,0,6,0,223,695,207,216,103,113,0,100,60,112,93,437,195,326,242,19,427,15,321,612,449,133,54,279,215,196,177,455,646,751,399,402,593,302,65,475,304,333,261,429,439,627,431,87,0,0,0,0,0,0,0,0,0,0,0,-14,-22,-3,2,4,6,0,0,0,1,0,-1,0,1,-1,0,0,0,0,0,-1,0,1,-6,-5,-5,-6,-14,-17,-20,-7,-10,-13,-6,-2,-13,-6,-6,-7,-6,-7,-6,9,4
TRACT,53011040416,1222,1110,0,0,0,0,0,0,0,112,0,119,553,194,196,75,40,45,6,59,41,50,47,226,345,234,214,384,0,193,370,490,143,26,168,139,324,187,196,212,537,417,658,431,279,44,706,246,388,194,277,259,441,417,105,1222,1110,0,0,0,0,0,0,0,112,0,118,556,193,193,76,40,46,6,59,41,50,48,226,344,235,213,385,0,193,371,489,143,26,167,137,323,187,198,212,537,417,664,432,280,44,687,243,379,188,272,251,438,423,110,0,0,0,0,0,0,0,0,0,0,0,-1,3,-1,-3,1,0,1,0,0,0,0,1,0,-1,1,-1,1,0,0,1,-1,0,0,-1,-2,-1,0,2,0,0,0,6,1,1,0,-19,-3,-9,-6,-5,-8,-3,6,5
TRACT,53011040504,1584,1523,0,6,0,0,0,0,0,55,0,207,585,267,249,210,54,12,26,48,27,42,325,255,371,240,250,566,12,164,486,628,166,128,343,232,313,157,307,555,566,798,848,596,252,0,870,318,309,238,206,491,605,366,122,1584,1523,0,6,0,0,0,0,0,55,0,195,567,264,252,217,57,14,26,48,27,42,325,255,371,240,250,565,12,163,486,627,167,129,334,225,306,153,301,540,550,783,832,583,246,0,838,313,303,232,204,472,603,376,133,0,0,0,0,0,0,0,0,0,0,0,-12,-18,-3,3,7,3,2,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,1,1,-9,-7,-7,-4,-6,-15,-16,-15,-16,-13,-6,0,-32,-5,-6,-6,-2,-19,-2,10,11
