GEOID,NAME,HH,POP,HH_Occ,GQ_Inst,GQ_Non
530110409101021,"Block 1021, Block Group 1, Census Tract 409.10, Clark County, Washington",20,49,20,0,0
530110409101022,"Block 1022, Block Group 1, Census Tract 409.10, Clark County, Washington",0,0,0,0,0
530110409101024,"Block 1024, Block Group 1, Census Tract 409.10, Clark County, Washington",22,82,22,0,0
530110409101025,"Block 1025, Block Group 1, Census Tract 409.10, Clark County, Washington",16,43,16,0,0
530110409101027,"Block 1027, Block Group 1, Census Tract 409.10, Clark County, Washington",0,0,0,0,0
530110409101028,"Block 1028, Block Group 1, Census Tract 409.10, Clark County, Washington",0,0,0,0,0
530110409101030,"Block 1030, Block Group 1, Census Tract 409.10, Clark County, Washington",0,0,0,0,0
530110409101031,"Block 1031, Block Group 1, Census Tract 409.10, Clark County, Washington",0,0,0,0,0
530110409101033,"Block 1033, Block Group 1, Census Tract 409.10, Clark County, Washington",14,46,14,0,0
530110409102007,"Block 2007, Block Group 2, Census Tract 409.10, Clark County, Washington",12,79,12,0,0
530110409102009,"Block 2009, Block Group 2, Census Tract 409.10, Clark County, Washington",6,31,0,0,0
530110409102010,"Block 2010, Block Group 2, Census Tract 409.10, Clark County, Washington",43,107,43,0,0
530110409102012,"Block 2012, Block Group 2, Census Tract 409.10, Clark County, Washington",18,60,18,0,0
530110409102013,"Block 2013, Block Group 2, Census Tract 409.10, Clark County, Washington",10,43,10,0,0
530110409102014,"Block 2014, Block Group 2, Census Tract 409.10, Clark County, Washington",0,0,0,0,0
530110409102015,"Block 2015, Block Group 2, Census Tract 409.10, Clark County, Washington",1,22,0,0,0
530110409102016,"Block 2016, Block Group 2, Census Tract 409.10, Clark County, Washington",128,389,128,0,0
530110409102017,"Block 2017, Block Group 2, Census Tract 409.10, Clark County, Washington",21,66,21,0,0
530110409102018,"Block 2018, Block Group 2, Census Tract 409.10, Clark County, Washington",20,64,17,0,0
530110410031000,"Block 1000, Block Group 1, Census Tract 410.03, Clark County, Washington",35,106,35,0,0
530110410031001,"Block 1001, Block Group 1, Census Tract 410.03, Clark County, Washington",10,32,10,0,0
530110410031002,"Block 1002, Block Group 1, Census Tract 410.03, Clark County, Washington",39,89,34,0,0
530110410031003,"Block 1003, Block Group 1, Census Tract 410.03, Clark County, Washington",10,28,10,0,0
530110410031004,"Block 1004, Block Group 1, Census Tract 410.03, Clark County, Washington",10,36,8,0,0
530110410031005,"Block 1005, Block Group 1, Census Tract 410.03, Clark County, Washington",19,35,19,0,0
530110410031006,"Block 1006, Block Group 1, Census Tract 410.03, Clark County, Washington",78,187,75,0,0
530110410031007,"Block 1007, Block Group 1, Census Tract 410.03, Clark County, Washington",10,33,10,0,0
530110410031009,"Block 1009, Block Group 1, Census Tract 410.03, Clark County, Washington",33,77,33,0,0
530110410031010,"Block 1010, Block Group 1, Census Tract 410.03, Clark County, Washington",21,65,21,0,0
530110410032000,"Block 2000, Block Group 2, Census Tract 410.03, Clark County, Washington",0,0,0,0,0
530110410032001,"Block 2001, Block Group 2, Census Tract 410.03, Clark County, Washington",2,15,0,0,0
530110410032002,"Block 2002, Block Group 2, Census Tract 410.03, Clark County, Washington",22,48,22,0,0
530110410032004,"Block 2004, Block Group 2, Census Tract 410.03, Clark County, Washington",17,39,17,0,0
530110410032005,"Block 2005, Block Group 2, Census Tract 410.03, Clark County, Washington",6,21,3,0,0
530110410032007,"Block 2007, Block Group 2, Census Tract 410.03, Clark County, Washington",2,13,0,0,0
530110410032008,"Block 2008, Block Group 2, Census Tract 410.03, Clark County, Washington",3,20,3,0,0
530110410032010,"Block 2010, Block Group 2, Census Tract 410.03, Clark County, Washington",4,10,4,0,0
530110410032011,"Block 2011, Block Group 2, Census Tract 410.03, Clark County, Washington",38,66,37,0,0
530110410032012,"Block 2012, Block Group 2, Census Tract 410.03, Clark County, Washington",0,0,0,0,0
530110410032014,"Block 2014, Block Group 2, Census Tract 410.03, Clark County, Washington",16,25,15,0,0
530110410032015,"Block 2015, Block Group 2, Census Tract 410.03, Clark County, Washington",3,15,3,0,0
530110410032017,"Block 2017, Block Group 2, Census Tract 410.03, Clark County, Washington",151,455,151,65,0
530110410032018,"Block 2018, Block Group 2, Census Tract 410.03, Clark County, Washington",18,40,9,0,0
530110418001013,"Block 1013, Block Group 1, Census Tract 418, Clark County, Washington",20,59,17,0,0
530110418001014,"Block 1014, Block Group 1, Census Tract 418, Clark County, Washington",15,42,15,0,0
530110418001015,"Block 1015, Block Group 1, Census Tract 418, Clark County, Washington",9,21,6,0,0
530110418001017,"Block 1017, Block Group 1, Census Tract 418, Clark County, Washington",8,33,8,0,0
530110418001018,"Block 1018, Block Group 1, Census Tract 418, Clark County, Washington",12,38,12,0,0
530110418001020,"Block 1020, Block Group 1, Census Tract 418, Clark County, Washington",10,30,8,0,0
530110418001021,"Block 1021, Block Group 1, Census Tract 418, Clark County, Washington",1,14,0,0,0
530110418001023,"Block 1023, Block Group 1, Census Tract 418, Clark County, Washington",38,84,38,0,0
530110418001024,"Block 1024, Block Group 1, Census Tract 418, Clark County, Washington",45,100,45,0,0
530110418001026,"Block 1026, Block Group 1, Census Tract 418, Clark County, Washington",24,53,24,0,0
530110418001027,"Block 1027, Block Group 1, Census Tract 418, Clark County, Washington",9,35,5,0,0
530110418001028,"Block 1028, Block Group 1, Census Tract 418, Clark County, Washington",10,21,10,0,0
530110418001030,"Block 1030, Block Group 1, Census Tract 418, Clark County, Washington",5,15,5,0,0
530110418001031,"Block 1031, Block Group 1, Census Tract 418, Clark County, Washington",0,0,0,0,0
530110418001033,"Block 1033, Block Group 1, Census Tract 418, Clark County, Washington",16,57,16,0,0
530110418002000,"Block 2000, Block Group 2, Census Tract 418, Clark County, Washington",51,145,51,0,0
530110418002002,"Block 2002, Block Group 2, Census Tract 418, Clark County, Washington",18,43,18,0,0
530110418002003,"Block 2003, Block Group 2, Census Tract 418, Clark County, Washington",24,55,24,0,0
530110418002005,"Block 2005, Block Group 2, Census Tract 418, Clark County, Washington",23,53,19,0,0
530110418002006,"Block 2006, Block Group 2, Census Tract 418, Clark County, Washington",26,74,26,0,0
530110418002007,"Block 2007, Block Group 2, Census Tract 418, Clark County, Washington",19,62,19,0,0
530110418002010,"Block 2010, Block Group 2, Census Tract 418, Clark County, Washington",0,0,0,0,0
530110418002012,"Block 2012, Block Group 2, Census Tract 418, Clark County, Washington",13,45,13,0,0
530110418002013,"Block 2013, Block Group 2, Census Tract 418, Clark County, Washington",76,153,75,0,0
530110418002015,"Block 2015, Block Group 2, Census Tract 418, Clark County, Washington",16,36,16,0,0
530110418002016,"Block 2016, Block Group 2, Census Tract 418, Clark County, Washington",19,44,19,0,0
530110418002017,"Block 2017, Block Group 2, Census Tract 418, Clark County, Washington",21,45,21,0,0
530110418002018,"Block 2018, Block Group 2, Census Tract 418, Clark County, Washington",17,41,17,0,0
530110418002019,"Block 2019, Block Group 2, Census Tract 418, Clark County, Washington",29,57,29,0,0
530110418002020,"Block 2020, Block Group 2, Census Tract 418, Clark County, Washington",20,38,18,0,0
530110418002021,"Block 2021, Block Group 2, Census Tract 418, Clark County, Washington",18,42,8,0,0
530110418002022,"Block 2022, Block Group 2, Census Tract 418, Clark County, Washington",0,0,0,0,0
530110418003000,"Block 3000, Block Group 3, Census Tract 418, Clark County, Washington",17,34,17,0,0
530110418003001,"Block 3001, Block Group 3, Census Tract 418, Clark County, Washington",6,11,6,0,0
530110418003002,"Block 3002, Block Group 3, Census Tract 418, Clark County, Washington",9,20,9,0,0
530110418003003,"Block 3003, Block Group 3, Census Tract 418, Clark County, Washington",6,21,6,0,0
530110418003004,"Block 3004, Block Group 3, Census Tract 418, Clark County, Washington",7,22,7,0,0
530110418003005,"Block 3005, Block Group 3, Census Tract 418, Clark County, Washington",9,19,9,0,0
530110409101034,"Block 1034, Block Group 1, Census Tract 409.10, Clark County, Washington",35,119,35,0,0
530110409101035,"Block 1035, Block Group 1, Census Tract 409.10, Clark County, Washington",22,79,22,0,0
530110409101036,"Block 1036, Block Group 1, Census Tract 409.10, Clark County, Washington",26,95,25,0,0
530110409102000,"Block 2000, Block Group 2, Census Tract 409.10, Clark County, Washington",454,1246,453,0,0
530110409102001,"Block 2001, Block Group 2, Census Tract 409.10, Clark County, Washington",22,68,22,0,0
530110409102002,"Block 2002, Block Group 2, Census Tract 409.10, Clark County, Washington",11,49,11,0,0
530110409102003,"Block 2003, Block Group 2, Census Tract 409.10, Clark County, Washington",12,35,12,0,0
530110409102004,"Block 2004, Block Group 2, Census Tract 409.10, Clark County, Washington",15,64,12,0,0
530110409102005,"Block 2005, Block Group 2, Census Tract 409.10, Clark County, Washington",22,60,22,0,0
530110418003018,"Block 3018, Block Group 3, Census Tract 418, Clark County, Washington",12,40,12,0,0
530110418003019,"Block 3019, Block Group 3, Census Tract 418, Clark County, Washington",10,24,6,0,0
530110418003020,"Block 3020, Block Group 3, Census Tract 418, Clark County, Washington",10,20,10,0,0
530110418003021,"Block 3021, Block Group 3, Census Tract 418, Clark County, Washington",11,44,11,0,0
530110418003023,"Block 3023, Block Group 3, Census Tract 418, Clark County, Washington",11,28,11,0,0
530110418003024,"Block 3024, Block Group 3, Census Tract 418, Clark County, Washington",9,39,2,0,0
530110418003026,"Block 3026, Block Group 3, Census Tract 418, Clark County, Washington",0,0,0,0,0
530110418003027,"Block 3027, Block Group 3, Census Tract 418, Clark County, Washington",0,0,0,0,0
530110418003029,"Block 3029, Block Group 3, Census Tract 418, Clark County, Washington",21,54,21,0,0
530110418003030,"Block 3030, Block Group 3, Census Tract 418, Clark County, Washington",10,31,5,0,0
530110418003031,"Block 3031, Block Group 3, Census Tract 418, Clark County, Washington",8,18,8,0,0
530110418003033,"Block 3033, Block Group 3, Census Tract 418, Clark County, Washington",7,28,7,0,0
530110418003034,"Block 3034, Block Group 3, Census Tract 418, Clark County, Washington",21,30,17,0,0
530110418003036,"Block 3036, Block Group 3, Census Tract 418, Clark County, Washington",16,43,16,0,0
530110418003037,"Block 3037, Block Group 3, Census Tract 418, Clark County, Washington",14,43,10,0,0
530110418003040,"Block 3040, Block Group 3, Census Tract 418, Clark County, Washington",46,90,46,0,0
530110418003042,"Block 3042, Block Group 3, Census Tract 418, Clark County, Washington",18,40,18,0,0
530110418003043,"Block 3043, Block Group 3, Census Tract 418, Clark County, Washington",8,13,7,0,0
530110418003044,"Block 3044, Block Group 3, Census Tract 418, Clark County, Washington",0,0,0,0,0
530110419001001,"Block 1001, Block Group 1, Census Tract 419, Clark County, Washington",0,0,0,0,0
530110419001002,"Block 1002, Block Group 1, Census Tract 419, Clark County, Washington",1,10,0,0,0
530110419001004,"Block 1004, Block Group 1, Census Tract 419, Clark County, Washington",89,147,84,0,0
530110419001005,"Block 1005, Block Group 1, Census Tract 419, Clark County, Washington",0,0,0,0,0
530110419001007,"Block 1007, Block Group 1, Census Tract 419, Clark County, Washington",5,10,5,0,0
530110419001008,"Block 1008, Block Group 1, Census Tract 419, Clark County, Washington",23,59,23,0,0
530110419001010,"Block 1010, Block Group 1, Census Tract 419, Clark County, Washington",3,7,3,0,0
530110419001011,"Block 1011, Block Group 1, Census Tract 419, Clark County, Washington",9,29,0,0,0
530110419001012,"Block 1012, Block Group 1, Census Tract 419, Clark County, Washington",6,17,6,0,0
530110410032020,"Block 2020, Block Group 2, Census Tract 410.03, Clark County, Washington",247,501,241,0,0
530110410032021,"Block 2021, Block Group 2, Census Tract 410.03, Clark County, Washington",7,18,7,0,0
530110410032022,"Block 2022, Block Group 2, Census Tract 410.03, Clark County, Washington",0,0,0,0,0
530110410033001,"Block 3001, Block Group 3, Census Tract 410.03, Clark County, Washington",16,39,16,0,0
530110410033002,"Block 3002, Block Group 3, Census Tract 410.03, Clark County, Washington",19,57,19,0,0
530110410033004,"Block 3004, Block Group 3, Census Tract 410.03, Clark County, Washington",8,36,8,0,0
530110410033005,"Block 3005, Block Group 3, Census Tract 410.03, Clark County, Washington",56,126,48,0,0
530110410033007,"Block 3007, Block Group 3, Census Tract 410.03, Clark County, Washington",5,14,0,0,0
530110410033008,"Block 3008, Block Group 3, Census Tract 410.03, Clark County, Washington",14,52,14,0,0
530110410033010,"Block 3010, Block Group 3, Census Tract 410.03, Clark County, Washington",18,40,18,0,0
530110410033011,"Block 3011, Block Group 3, Census Tract 410.03, Clark County, Washington",25,47,25,0,0
530110410033012,"Block 3012, Block Group 3, Census Tract 410.03, Clark County, Washington",16,43,16,0,0
530110410033013,"Block 3013, Block Group 3, Census Tract 410.03, Clark County, Washington",18,41,18,0,0
530110410033014,"Block 3014, Block Group 3, Census Tract 410.03, Clark County, Washington",15,34,15,0,0
530110410033015,"Block 3015, Block Group 3, Census Tract 410.03, Clark County, Washington",13,29,13,0,0
530110410034000,"Block 4000, Block Group 4, Census Tract 410.03, Clark County, Washington",77,184,77,0,0
530110410034001,"Block 4001, Block Group 4, Census Tract 410.03, Clark County, Washington",39,91,39,0,0
530110410034002,"Block 4002, Block Group 4, Census Tract 410.03, Clark County, Washington",25,60,25,0,0
530110410034003,"Block 4003, Block Group 4, Census Tract 410.03, Clark County, Washington",51,121,51,0,0
530110410034004,"Block 4004, Block Group 4, Census Tract 410.03, Clark County, Washington",12,21,12,0,0
530110410034005,"Block 4005, Block Group 4, Census Tract 410.03, Clark County, Washington",8,25,8,0,0
530110410034006,"Block 4006, Block Group 4, Census Tract 410.03, Clark County, Washington",10,24,10,0,0
530110410034007,"Block 4007, Block Group 4, Census Tract 410.03, Clark County, Washington",19,52,19,0,0
530110410034009,"Block 4009, Block Group 4, Census Tract 410.03, Clark County, Washington",5,11,5,0,0
530110410034010,"Block 4010, Block Group 4, Census Tract 410.03, Clark County, Washington",33,65,33,0,0
530110410034012,"Block 4012, Block Group 4, Census Tract 410.03, Clark County, Washington",4,18,4,0,0
530110410034013,"Block 4013, Block Group 4, Census Tract 410.03, Clark County, Washington",19,48,19,0,0
530110410034014,"Block 4014, Block Group 4, Census Tract 410.03, Clark County, Washington",43,101,43,0,0
530110410034016,"Block 4016, Block Group 4, Census Tract 410.03, Clark County, Washington",19,41,19,0,0
530110410034017,"Block 4017, Block Group 4, Census Tract 410.03, Clark County, Washington",18,57,18,0,0
530110410051001,"Block 1001, Block Group 1, Census Tract 410.05, Clark County, Washington",194,418,194,0,0
530110410051002,"Block 1002, Block Group 1, Census Tract 410.05, Clark County, Washington",20,50,20,0,0
530110410051004,"Block 1004, Block Group 1, Census Tract 410.05, Clark County, Washington",118,224,116,0,0
530110410051005,"Block 1005, Block Group 1, Census Tract 410.05, Clark County, Washington",26,50,25,0,0
530110410051006,"Block 1006, Block Group 1, Census Tract 410.05, Clark County, Washington",37,88,37,0,0
530110410051008,"Block 1008, Block Group 1, Census Tract 410.05, Clark County, Washington",46,104,46,0,0
530110410051009,"Block 1009, Block Group 1, Census Tract 410.05, Clark County, Washington",18,44,11,0,0
530110410052051,"Block 2051, Block Group 2, Census Tract 410.05, Clark County, Washington",0,0,0,0,0
530110410052052,"Block 2052, Block Group 2, Census Tract 410.05, Clark County, Washington",0,0,0,0,0
530110410052054,"Block 2054, Block Group 2, Census Tract 410.05, Clark County, Washington",52,176,52,0,0
530110410052055,"Block 2055, Block Group 2, Census Tract 410.05, Clark County, Washington",0,0,0,0,0
530110410052057,"Block 2057, Block Group 2, Census Tract 410.05, Clark County, Washington",10,21,4,0,0
530110410052058,"Block 2058, Block Group 2, Census Tract 410.05, Clark County, Washington",122,336,116,0,0
530110410052059,"Block 2059, Block Group 2, Census Tract 410.05, Clark County, Washington",0,0,0,0,0
530110410052061,"Block 2061, Block Group 2, Census Tract 410.05, Clark County, Washington",0,0,0,0,0
530110410052062,"Block 2062, Block Group 2, Census Tract 410.05, Clark County, Washington",0,0,0,0,0
530110410052064,"Block 2064, Block Group 2, Census Tract 410.05, Clark County, Washington",0,0,0,0,0
530110410052065,"Block 2065, Block Group 2, Census Tract 410.05, Clark County, Washington",0,0,0,0,0
530110410052067,"Block 2067, Block Group 2, Census Tract 410.05, Clark County, Washington",0,0,0,0,0
530110410052068,"Block 2068, Block Group 2, Census Tract 410.05, Clark County, Washington",0,0,0,0,0
530110410052069,"Block 2069, Block Group 2, Census Tract 410.05, Clark County, Washington",0,0,0,0,0
530110410052071,"Block 2071, Block Group 2, Census Tract 410.05, Clark County, Washington",0,0,0,0,0
530110410052072,"Block 2072, Block Group 2, Census Tract 410.05, Clark County, Washington",0,0,0,0,0
530110410052073,"Block 2073, Block Group 2, Census Tract 410.05, Clark County, Washington",0,0,0,0,0
530110410071000,"Block 1000, Block Group 1, Census Tract 410.07, Clark County, Washington",58,186,56,0,0
530110410071001,"Block 1001, Block Group 1, Census Tract 410.07, Clark County, Washington",21,56,16,0,0
530110410071002,"Block 1002, Block Group 1, Census Tract 410.07, Clark County, Washington",59,155,59,0,0
530110410071003,"Block 1003, Block Group 1, Census Tract 410.07, Clark County, Washington",18,50,18,0,0
530110410071004,"Block 1004, Block Group 1, Census Tract 410.07, Clark County, Washington",9,32,9,0,0
530110410071005,"Block 1005, Block Group 1, Census Tract 410.07, Clark County, Washington",12,27,12,0,0
530110410071006,"Block 1006, Block Group 1, Census Tract 410.07, Clark County, Washington",43,94,43,0,0
530110410071007,"Block 1007, Block Group 1, Census Tract 410.07, Clark County, Washington",19,42,18,0,0
530110410071008,"Block 1008, Block Group 1, Census Tract 410.07, Clark County, Washington",13,37,13,0,0
530110410071009,"Block 1009, Block Group 1, Census Tract 410.07, Clark County, Washington",14,37,14,0,0
530110410071010,"Block 1010, Block Group 1, Census Tract 410.07, Clark County, Washington",13,36,7,0,0
530110418003006,"Block 3006, Block Group 3, Census Tract 418, Clark County, Washington",8,20,8,0,0
530110418003008,"Block 3008, Block Group 3, Census Tract 418, Clark County, Washington",18,37,18,0,0
530110418003009,"Block 3009, Block Group 3, Census Tract 418, Clark County, Washington",0,0,0,0,0
530110418003011,"Block 3011, Block Group 3, Census Tract 418, Clark County, Washington",6,9,6,0,0
530110418003012,"Block 3012, Block Group 3, Census Tract 418, Clark County, Washington",11,25,11,0,0
530110418003014,"Block 3014, Block Group 3, Census Tract 418, Clark County, Washington",9,22,9,0,0
530110418003015,"Block 3015, Block Group 3, Census Tract 418, Clark County, Washington",9,38,9,0,0
530110418003016,"Block 3016, Block Group 3, Census Tract 418, Clark County, Washington",9,22,9,0,0
530110419001014,"Block 1014, Block Group 1, Census Tract 419, Clark County, Washington",12,37,11,0,0
530110419001015,"Block 1015, Block Group 1, Census Tract 419, Clark County, Washington",12,28,12,0,0
530110419001016,"Block 1016, Block Group 1, Census Tract 419, Clark County, Washington",10,31,10,0,0
530110419001017,"Block 1017, Block Group 1, Census Tract 419, Clark County, Washington",8,27,4,0,0
530110419001018,"Block 1018, Block Group 1, Census Tract 419, Clark County, Washington",11,15,11,0,0
530110419001019,"Block 1019, Block Group 1, Census Tract 419, Clark County, Washington",0,0,0,0,0
530110419001020,"Block 1020, Block Group 1, Census Tract 419, Clark County, Washington",0,0,0,0,0
530110419001021,"Block 1021, Block Group 1, Census Tract 419, Clark County, Washington",0,0,0,0,0
530110419001022,"Block 1022, Block Group 1, Census Tract 419, Clark County, Washington",12,24,12,0,0
530110419001023,"Block 1023, Block Group 1, Census Tract 419, Clark County, Washington",11,24,10,0,0
530110419001024,"Block 1024, Block Group 1, Census Tract 419, Clark County, Washington",10,16,10,0,0
530110419001025,"Block 1025, Block Group 1, Census Tract 419, Clark County, Washington",23,40,23,0,0
530110419001026,"Block 1026, Block Group 1, Census Tract 419, Clark County, Washington",0,0,0,0,0
530110419001027,"Block 1027, Block Group 1, Census Tract 419, Clark County, Washington",0,0,0,0,0
530110419001028,"Block 1028, Block Group 1, Census Tract 419, Clark County, Washington",0,0,0,0,0
530110419001030,"Block 1030, Block Group 1, Census Tract 419, Clark County, Washington",178,287,178,86,1
530110419001031,"Block 1031, Block Group 1, Census Tract 419, Clark County, Washington",10,14,10,0,0
530110419001032,"Block 1032, Block Group 1, Census Tract 419, Clark County, Washington",8,13,8,0,0
530110419001034,"Block 1034, Block Group 1, Census Tract 419, Clark County, Washington",7,16,7,0,0
530110419001035,"Block 1035, Block Group 1, Census Tract 419, Clark County, Washington",8,20,8,0,0
530110419001037,"Block 1037, Block Group 1, Census Tract 419, Clark County, Washington",9,21,9,0,0
530110419001038,"Block 1038, Block Group 1, Census Tract 419, Clark County, Washington",8,22,2,0,0
530110419001040,"Block 1040, Block Group 1, Census Tract 419, Clark County, Washington",8,8,8,0,0
530110419001041,"Block 1041, Block Group 1, Census Tract 419, Clark County, Washington",10,15,10,0,0
530110419002000,"Block 2000, Block Group 2, Census Tract 419, Clark County, Washington",0,0,0,0,0
530110419002001,"Block 2001, Block Group 2, Census Tract 419, Clark County, Washington",0,0,0,0,0
530110419002002,"Block 2002, Block Group 2, Census Tract 419, Clark County, Washington",4,10,4,0,0
530110419002004,"Block 2004, Block Group 2, Census Tract 419, Clark County, Washington",8,21,8,0,0
530110419002005,"Block 2005, Block Group 2, Census Tract 419, Clark County, Washington",7,16,7,0,0
530110419002007,"Block 2007, Block Group 2, Census Tract 419, Clark County, Washington",9,16,9,0,0
530110419002008,"Block 2008, Block Group 2, Census Tract 419, Clark County, Washington",13,35,13,0,0
530110419002010,"Block 2010, Block Group 2, Census Tract 419, Clark County, Washington",9,16,9,0,0
530110419002011,"Block 2011, Block Group 2, Census Tract 419, Clark County, Washington",22,46,22,0,0
