PUMA,BLOCK,hh_id
100,410019501003067,107
100,410019501003067,230
100,410019501003067,718
100,410019501003067,998
100,410019501003067,1262
100,410019501003067,1796
100,410019501003067,1920
100,410019501003067,2047
100,410019501003067,2184
100,410019501003067,2355
100,410019501003067,2726
100,410019501003067,3058
100,410019501003067,3100
100,410019501003067,3119
100,410019501003067,3185
100,410019504001006,131
100,410019504001006,131
100,410019504001006,141
100,410019504001006,2355
100,410019504001006,3033
100,410019504001007,107
100,410019504001007,141
100,410019504001007,255
100,410019504001007,1468
100,410019504001007,2566
100,410019504001007,2566
100,410019504001007,2685
100,410019504001007,2918
100,410019504001007,2934
100,410019504001007,3033
100,410019504001007,3033
100,410019504001008,255
100,410019504001008,1091
100,410019504001008,1412
100,410019504001008,1796
100,410019504001008,1796
100,410019504001008,2407
100,410019504001010,69
100,410019504001010,107
100,410019504001010,230
100,410019504001010,255
100,410019504001010,255
100,410019504001010,1025
100,410019504001010,1025
100,410019504001010,1625
100,410019504001010,1820
100,410019504001010,2082
100,410019504001010,2184
100,410019504001010,2472
100,410019504001010,2731
100,410019504001010,2855
100,410019504001010,2934
100,410019504001010,2934
100,410019504003010,1262
100,410019504003010,2036
100,410019504003010,2047
100,410019505001106,1660
100,410019505001106,2685
100,410019505001106,3027
100,410019505002000,69
100,410019505002000,134
100,410019505002000,255
100,410019505002000,357
100,410019505002000,364
100,410019505002000,784
100,410019505002000,1262
100,410019505002000,1623
100,410019505002000,1623
100,410019505002000,1635
100,410019505002000,1692
100,410019505002000,1820
100,410019505002000,1920
100,410019505002000,2114
100,410019505002000,2355
100,410019505002000,3027
100,410019505002000,3027
100,410019505002000,3100
100,410019505002000,3100
100,410019505002000,3100
100,410599400002009,69
100,410599400002009,107
100,410599400002009,784
100,410599400002009,807
100,410599400002009,1025
100,410599400002009,1342
100,410599400002009,1412
100,410599400002009,1635
100,410599400002009,1820
100,410599400002009,1920
100,410599400002009,2077
100,410599400002009,2184
100,410599400002009,2355
100,410599400002009,2472
100,410599400002009,2472
100,410599400002009,2515
100,410599400002009,2685
100,410599400002009,2918
100,410599400002009,2934
100,410599400002009,3033
100,410599400002009,3033
100,410599400002009,3033
100,410599400002009,3033
100,410599400002009,3058
100,410599400002009,3100
100,410599400002009,3100
100,410599502011012,364
100,410599502011012,807
100,410599502011012,841
100,410599502011012,1796
100,410599502011012,2184
100,410599502011012,3033
100,410599502011012,3058
100,410599502013023,255
100,410599502013023,608
100,410599502013023,784
100,410599502013023,784
100,410599502013023,2355
100,410599502013023,2685
100,410599502013023,3058
100,410599502013023,3119
100,410599502013026,69
100,410599502013026,134
100,410599502013026,134
100,410599502013026,141
100,410599502013026,230
100,410599502013026,230
100,410599502013026,230
100,410599502013026,255
100,410599502013026,255
100,410599502013026,255
100,410599502013026,255
100,410599502013026,255
100,410599502013026,357
100,410599502013026,608
100,410599502013026,748
100,410599502013026,748
100,410599502013026,784
100,410599502013026,784
100,410599502013026,841
100,410599502013026,889
100,410599502013026,889
100,410599502013026,889
100,410599502013026,905
100,410599502013026,998
100,410599502013026,998
100,410599502013026,1091
100,410599502013026,1258
100,410599502013026,1258
100,410599502013026,1342
100,410599502013026,1412
100,410599502013026,1623
100,410599502013026,1635
100,410599502013026,1796
100,410599502013026,1920
100,410599502013026,1920
100,410599502013026,1920
100,410599502013026,1920
100,410599502013026,2065
100,410599502013026,2065
100,410599502013026,2078
100,410599502013026,2184
100,410599502013026,2184
100,410599502013026,2184
100,410599502013026,2184
100,410599502013026,2472
100,410599502013026,2566
100,410599502013026,2566
100,410599502013026,2685
100,410599502013026,2685
100,410599502013026,2918
100,410599502013026,2934
100,410599502013026,3058
100,410599502013026,3058
100,410599502013026,3058
100,410599502013026,3058
100,410599502013026,3058
100,410599502013026,3058
100,410599502013026,3100
100,410599502013026,3100
100,410599502013026,3201
100,410599502021010,131
100,410599502021010,748
100,410599502021010,1504
100,410599502021010,1504
100,410599502021010,2047
100,410599502021010,2355
100,410599502021010,2515
100,410599502021010,2566
100,410599502021010,3033
100,410599502021010,3111
100,410599502021014,230
100,410599502021014,255
100,410599502021014,784
100,410599502021014,1025
100,410599502021014,1091
100,410599502021014,1625
100,410599502021014,2566
100,410599502023000,817
100,410599502023000,3027
100,410599502023000,3100
100,410599502023009,608
100,410599502023009,748
100,410599502023009,784
100,410599502023009,2045
100,410599502023009,2472
100,410599502023009,2472
100,410599502023009,2685
100,410599502023009,2813
100,410599502023009,3100
100,410599502024024,173
100,410599502024024,889
100,410599502024024,923
100,410599502024024,2184
100,410599502024024,2934
100,410599502024024,2981
100,410599502024024,3111
100,410599503002041,138
100,410599503002041,173
100,410599503002041,255
100,410599503002041,608
100,410599503002041,608
100,410599503002041,775
100,410599503002041,784
100,410599503002041,841
100,410599503002041,1070
100,410599503002041,1623
100,410599503002041,1635
100,410599503002041,1820
100,410599503002041,2047
100,410599503002041,2065
100,410599503002041,2082
100,410599503002041,3058
100,410599504002019,69
100,410599504002019,131
100,410599504002019,131
100,410599504002019,173
100,410599504002019,173
100,410599504002019,173
100,410599504002019,255
100,410599504002019,255
100,410599504002019,255
100,410599504002019,344
100,410599504002019,344
100,410599504002019,357
100,410599504002019,357
100,410599504002019,364
100,410599504002019,535
100,410599504002019,608
100,410599504002019,784
100,410599504002019,784
100,410599504002019,841
100,410599504002019,841
100,410599504002019,841
100,410599504002019,889
100,410599504002019,998
100,410599504002019,1025
100,410599504002019,1410
100,410599504002019,1412
100,410599504002019,1412
100,410599504002019,1454
100,410599504002019,1623
100,410599504002019,1625
100,410599504002019,1635
100,410599504002019,1660
100,410599504002019,1796
100,410599504002019,1796
100,410599504002019,1796
100,410599504002019,1796
100,410599504002019,1802
100,410599504002019,1820
100,410599504002019,1920
100,410599504002019,1920
100,410599504002019,1920
100,410599504002019,1993
100,410599504002019,2036
100,410599504002019,2065
100,410599504002019,2078
100,410599504002019,2355
100,410599504002019,2355
100,410599504002019,2356
100,410599504002019,2472
100,410599504002019,2472
100,410599504002019,2566
100,410599504002019,2566
100,410599504002019,2566
100,410599504002019,2855
100,410599504002019,2855
100,410599504002019,2934
100,410599504002019,3027
100,410599504002019,3027
100,410599504002019,3027
100,410599504002019,3033
100,410599504002019,3033
100,410599504002019,3033
100,410599504002019,3058
100,410599504002019,3058
100,410599504002019,3058
100,410599504002019,3058
100,410599504002019,3058
100,410599504002019,3058
100,410599504002019,3058
100,410599504002019,3058
100,410599504002019,3058
100,410599504002019,3058
100,410599504002019,3100
100,410599504002019,3201
100,410599504005005,775
100,410599504005005,1070
100,410599504005005,1796
100,410599504005005,2934
100,410599504005005,3027
100,410599505002005,131
100,410599505002005,357
100,410599505002005,748
100,410599505002005,3100
100,410599505002015,2047
100,410599505002017,841
100,410599505003010,173
100,410599505003010,357
100,410599505003010,1635
100,410599505003010,1660
100,410599505003010,2751
100,410599505003010,3027
100,410599505003010,3100
100,410599506011003,131
100,410599506011003,131
100,410599506011003,586
100,410599506011003,740
100,410599506011003,841
100,410599506011003,970
100,410599506011003,1091
100,410599506011003,1692
100,410599506011003,2184
100,410599506011003,2184
100,410599506011003,2685
100,410599506011003,3033
100,410599506011020,107
100,410599506011020,138
100,410599506011020,255
100,410599506011020,255
100,410599506011020,344
100,410599506011020,344
100,410599506011020,718
100,410599506011020,748
100,410599506011020,784
100,410599506011020,923
100,410599506011020,1132
100,410599506011020,1342
100,410599506011020,1468
100,410599506011020,1504
100,410599506011020,1625
100,410599506011020,1625
100,410599506011020,1796
100,410599506011020,1802
100,410599506011020,1820
100,410599506011020,1920
100,410599506011020,1993
100,410599506011020,2065
100,410599506011020,2077
100,410599506011020,2077
100,410599506011020,2184
100,410599506011020,2355
100,410599506011020,2355
100,410599506011020,2472
100,410599506011020,2566
100,410599506011020,2566
100,410599506011020,2685
100,410599506011020,2751
100,410599506011020,2855
100,410599506011020,2918
100,410599506011020,2934
100,410599506011020,3033
100,410599506011020,3058
100,410599506011020,3058
100,410599506011020,3100
100,410599506011020,3119
100,410599506011020,3119
100,410599506011043,1796
100,410599506012000,69
100,410599506012000,69
100,410599506012000,1468
100,410599506012000,1623
100,410599506012000,1920
100,410599506012000,3033
100,410599506012000,3058
100,410599506012000,3100
100,410599506012000,3119
100,410599506012004,1796
100,410599506012004,3058
100,410599506012014,131
100,410599506012014,138
100,410599506012014,255
100,410599506012014,255
100,410599506012014,255
100,410599506012014,673
100,410599506012014,784
100,410599506012014,807
100,410599506012014,1111
100,410599506012014,1504
100,410599506012014,1625
100,410599506012014,1625
100,410599506012014,1796
100,410599506012014,1796
100,410599506012014,1796
100,410599506012014,1820
100,410599506012014,1920
100,410599506012014,2047
100,410599506012014,2077
100,410599506012014,2077
100,410599506012014,2078
100,410599506012014,2685
100,410599506012014,2726
100,410599506012014,2918
100,410599506012014,2934
100,410599506012014,3033
100,410599506012014,3058
100,410599506012014,3100
100,410599506021003,69
100,410599506021003,1025
100,410599506021012,1623
100,410599506022002,69
100,410599506022002,138
100,410599506022002,790
100,410599506022002,841
100,410599506022002,889
100,410599506022002,998
100,410599506022002,1025
100,410599506022002,1504
100,410599506022002,1635
100,410599506022002,1692
100,410599506022002,1692
100,410599506022002,1796
100,410599506022002,2047
100,410599506022002,2082
100,410599506022002,2184
100,410599506022002,2918
100,410599506022002,3058
100,410599508002018,970
100,410599508002018,1692
100,410599508002018,1820
100,410599508002018,1820
100,410599508002018,1920
100,410599508002018,2065
100,410599508002018,2077
100,410599508002018,2472
100,410599508002018,2685
100,410599508002018,2855
100,410599508002018,3058
100,410599508002018,3100
100,410599508004021,138
100,410599508004021,230
100,410599508004021,784
100,410599508004021,1796
100,410599508004021,1993
100,410599508004021,2065
100,410599508004021,3027
100,410599508004021,3058
100,410599508004021,3058
100,410599508004027,1091
100,410599508004027,1623
100,410599508004027,1802
100,410599508004027,3058
100,410599509002010,748
100,410599509002010,1262
100,410599509002010,1920
100,410599509002010,2472
100,410599509002010,2731
100,410599509002010,2813
100,410599509002010,3033
100,410599509002010,3100
100,410599509002063,107
100,410599509002063,141
100,410599509002063,807
100,410599509002063,1635
100,410599509002063,1796
100,410599509002063,2355
100,410599509002063,3033
100,410599509002063,3033
100,410599509002063,3100
100,410599510002027,69
100,410599510002027,255
100,410599510002027,255
100,410599510002027,255
100,410599510002027,255
100,410599510002027,784
100,410599510002027,807
100,410599510002027,817
100,410599510002027,959
100,410599510002027,998
100,410599510002027,998
100,410599510002027,1412
100,410599510002027,1625
100,410599510002027,1820
100,410599510002027,2065
100,410599510002027,2065
100,410599510002027,2184
100,410599510002027,2659
100,410599510002027,2796
100,410599510002027,3027
100,410599510002027,3033
100,410599510002027,3058
100,410599510002027,3058
100,410599510002027,3058
100,410599510002027,3111
100,410599510002027,3119
100,410599510002027,3185
100,410599510002030,131
100,410599510002030,141
100,410599510002030,230
100,410599510002030,230
100,410599510002030,255
100,410599510002030,255
100,410599510002030,344
100,410599510002030,344
100,410599510002030,608
100,410599510002030,740
100,410599510002030,841
100,410599510002030,998
100,410599510002030,1468
100,410599510002030,1468
100,410599510002030,1504
100,410599510002030,1623
100,410599510002030,1692
100,410599510002030,1796
100,410599510002030,1920
100,410599510002030,1920
100,410599510002030,2047
100,410599510002030,2047
100,410599510002030,2184
100,410599510002030,2472
100,410599510002030,2566
100,410599510002030,2659
100,410599510002030,2731
100,410599510002030,2934
100,410599510002030,2934
100,410599510002030,3033
100,410599510002034,141
100,410599510002034,889
100,410599510002034,1025
100,410599510002034,2065
100,410599510002034,2407
100,410599510002034,2472
100,410599510002037,69
100,410599510002037,3058
100,410599510005000,131
100,410599510005000,173
100,410599510005000,255
100,410599510005000,784
100,410599510005000,923
100,410599510005000,998
100,410599510005000,1796
100,410599510005000,2813
100,410599510005000,2934
100,410599510005000,3027
100,410599510005000,3058
100,410599510005000,3100
100,410599511005009,255
100,410599511005009,608
100,410599511005009,608
100,410599511005009,1796
100,410599511005009,2077
100,410599511005009,2407
100,410599511005009,2726
100,410599511005009,3033
100,410599512014028,608
100,410599512014028,784
100,410599512014028,2355
100,410599512014028,3058
100,410619702001074,131
100,410619702001074,2407
100,410619702001074,2472
100,410619702001074,2813
100,410619704002003,1623
100,410619704002003,1796
100,410619704002003,1796
100,410619704002003,1920
100,410619704002003,2065
100,410619704002037,173
100,410619704002037,1623
100,410619704002037,1623
100,410619704002037,3033
100,410619704003021,775
100,410619704003021,959
100,410619704003021,1468
100,410619705003045,241
100,410619705003045,255
100,410619705003045,784
100,410619705003045,784
100,410619705003045,1342
100,410619705003045,2077
100,410619705003045,2472
100,410619705003045,2751
100,410619705003045,2855
100,410619705003045,3111
100,410619706001023,138
100,410619706001023,905
100,410619706001023,2077
100,410619706001023,2184
100,410619706001023,2934
100,410619706001023,3027
100,410619706001023,3030
100,410619706001023,3058
100,410619707003004,131
100,410619707003004,131
100,410619707003004,131
100,410619707003004,141
100,410619707003004,173
100,410619707003004,364
100,410619707003004,784
100,410619707003004,807
100,410619707003004,1635
100,410619707003004,1796
100,410619707003004,1920
100,410619707003004,2047
