geography,id,num_hh_control,num_hh_result,num_hh_diff
BLOCK,410170017011017,4,4,0
BLOCK,410191200023016,13,13,0
BLOCK,410079513001074,1,1,0
BLOCK,410099702011034,2,2,0
BLOCK,410079503003022,22,22,0
BLOCK,410191000003723,2,2,0
BLOCK,410170011022036,35,35,0
BLOCK,410170017021003,4,4,0
BLOCK,410191200024010,8,8,0
BLOCK,410190800022012,4,4,0
BLOCK,410190800023000,1,1,0
BLOCK,410170017021009,10,10,0
BLOCK,410191200025029,1,1,0
BLOCK,410190500043016,28,28,0
BLOCK,410079503003040,18,18,0
BLOCK,410099708003007,2,2,0
BLOCK,410099708004001,5,5,0
BLOCK,410190800024001,9,9,0
BLOCK,410190800024014,72,72,0
BLOCK,410170011013029,7,7,0
BLOCK,410170007011023,4,4,0
BLOCK,410110003001004,8,8,0
BLOCK,410191300011022,17,17,0
BLOCK,410191300011023,1,1,0
BLOCK,410191300011027,9,9,0
BLOCK,410050221011016,4,4,0
BLOCK,410050221012000,3,3,0
BLOCK,410050221013012,11,11,0
BLOCK,410050222012005,32,32,0
BLOCK,410050222014000,11,11,0
BLOCK,410050212002011,14,14,0
BLOCK,410050213001001,7,7,0
BLOCK,410050221014015,5,5,0
BLOCK,410050221014020,3,3,0
BLOCK,410050221014023,14,14,0
BLOCK,410050221051004,7,7,0
BLOCK,410050221052006,6,6,0
BLOCK,410030109003003,30,30,0
BLOCK,410030109003007,17,17,0
BLOCK,410079512001047,15,15,0
BLOCK,410030010011011,5,5,0
BLOCK,410030011021021,44,44,0
BLOCK,410050213001018,9,9,0
BLOCK,410050213002005,1,1,0
BLOCK,410050218021007,5,5,0
BLOCK,410050229061007,7,7,0
BLOCK,410050229061008,16,16,0
BLOCK,410030004012004,8,8,0
BLOCK,410030006003023,6,6,0
BLOCK,410030006003025,17,17,0
BLOCK,410030010012005,5,5,0
BLOCK,410030011022032,34,34,0
BLOCK,410030101022010,16,16,0
BLOCK,410050213004001,2,2,0
BLOCK,410050213004008,14,14,0
BLOCK,410050214001007,5,5,0
BLOCK,410050214001011,22,22,0
BLOCK,410050214001015,8,8,0
BLOCK,410050218022001,8,8,0
BLOCK,410050218022004,2,2,0
BLOCK,410050229011009,9,9,0
BLOCK,410079505001040,7,7,0
BLOCK,410050223012062,1,1,0
BLOCK,410050223013003,6,6,0
BLOCK,410050223021002,11,11,0
BLOCK,410050224001032,6,6,0
BLOCK,410030010023000,4,4,0
BLOCK,410050225022000,6,6,0
BLOCK,410050225023003,30,30,0
BLOCK,410050225023005,8,8,0
BLOCK,410050214002002,23,23,0
BLOCK,410050222072008,7,7,0
BLOCK,410050224002035,5,5,0
BLOCK,410050224003003,11,11,0
BLOCK,410050226052010,2,2,0
BLOCK,410050230021020,8,8,0
BLOCK,410050233004005,3,3,0
BLOCK,410050226052043,3,3,0
BLOCK,410050234031020,70,70,0
BLOCK,410050216011001,35,35,0
BLOCK,410050216011017,1,1,0
BLOCK,410050239011018,44,44,0
BLOCK,410050220003001,6,6,0
BLOCK,410050220003011,5,5,0
BLOCK,410050220004002,7,7,0
BLOCK,410019504001006,5,5,0
BLOCK,410019504001008,6,6,0
BLOCK,410030005001002,2,2,0
BLOCK,410030005001004,39,39,0
BLOCK,410030005002000,1,1,0
BLOCK,410030011011010,3,3,0
BLOCK,410050232023012,13,13,0
BLOCK,410050226064000,8,8,0
BLOCK,410050216012014,7,7,0
BLOCK,410050243022000,2,2,0
BLOCK,410019501003067,15,15,0
BLOCK,410050221011008,11,11,0
BLOCK,410050221091024,2,2,0
BLOCK,410030005003000,1,1,0
BLOCK,410050232012025,15,15,0
BLOCK,410030011012009,42,42,0
BLOCK,410050205051015,3,3,0
BLOCK,410050233001017,12,12,0
BLOCK,410030101013004,25,25,0
BLOCK,410030102001027,18,18,0
BLOCK,410050206012034,30,30,0
BLOCK,410050207003001,15,15,0
BLOCK,410050234043027,7,7,0
BLOCK,410030106011003,19,19,0
BLOCK,410030106011015,21,21,0
BLOCK,410030106011022,5,5,0
BLOCK,410030106011032,12,12,0
BLOCK,410030106011034,29,29,0
BLOCK,410050205042015,3,3,0
BLOCK,410050206022000,6,6,0
BLOCK,410050206022012,1,1,0
BLOCK,410050217002002,3,3,0
BLOCK,410050217003004,14,14,0
BLOCK,410030106011040,1,1,0
BLOCK,410030106011061,66,66,0
BLOCK,410030106011063,13,13,0
BLOCK,410050242001019,34,34,0
BLOCK,410050205042032,1,1,0
