"TAZ","HHINC1","HHINC2","HHINC3","HHINC4","HHINC5","HHINC6","HHINC7","HHINC8","HHSIZE1","HHSIZE2","HHSIZE3","HHSIZE4","HHWORK0","HHWORK1","HHWORK2","HHWORK3","HHWCHILD","HHWOCHILD"
919,5,4,3,17,19,7,2,0,13,15,15,14,15,21,18,3,19,38
920,9,7,5,19,23,9,5,0,27,18,17,15,20,27,25,5,27,50
921,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
922,18,23,23,37,37,18,14,9,28,82,32,37,46,64,55,14,50,129
923,16,20,21,32,32,21,13,8,18,82,28,35,43,58,52,10,46,117
924,26,0,0,7,20,13,0,0,7,26,0,33,13,26,20,7,26,40
925,13,4,0,8,18,5,4,0,8,9,11,24,12,19,17,4,27,25
926,18,55,0,64,101,0,11,9,56,83,44,75,55,106,76,21,92,166
927,9,19,21,2,27,3,0,4,16,14,18,37,19,35,24,7,49,36
928,12,15,6,22,22,6,3,0,13,25,15,33,22,27,28,9,44,42
929,10,20,24,2,36,3,0,4,14,26,22,37,21,42,29,7,48,51
930,29,35,14,57,52,19,7,0,56,43,42,72,56,66,70,21,108,105
931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
932,6,15,9,22,31,10,3,0,14,32,15,35,23,31,32,10,39,57
933,7,4,7,7,6,13,3,3,6,18,4,22,13,15,18,4,25,25
934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
935,7,15,20,2,24,2,0,3,13,22,11,27,17,29,22,5,34,39
936,13,17,53,16,76,19,9,0,47,69,32,55,44,85,58,16,82,121
937,10,13,41,13,57,13,6,0,30,37,30,56,33,63,45,12,79,74
938,14,10,13,11,13,23,5,7,12,24,22,38,24,29,33,10,51,45
939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
942,3,0,8,2,5,3,2,0,2,10,5,6,8,9,6,0,8,15
943,10,10,13,12,33,18,6,4,9,35,16,46,33,36,34,3,54,52
944,18,20,26,23,56,36,11,9,25,68,37,69,61,67,63,8,95,104
945,0,2,1,2,2,1,0,0,2,5,0,1,2,4,2,0,2,6
946,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3
947,2,5,4,9,10,2,1,1,4,13,11,6,8,13,11,2,8,26
948,20,19,26,23,61,35,11,8,38,70,34,61,63,70,63,7,80,123
949,3,1,1,1,6,1,1,0,6,2,3,3,4,4,6,0,6,8
950,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
951,2,2,3,3,2,1,1,1,4,5,5,1,5,6,3,1,3,12
1200,1,2,9,1,20,15,27,4,14,37,10,18,20,28,25,6,17,62
1201,0,0,3,0,4,2,5,1,6,6,1,2,4,5,5,1,3,12
1202,0,3,0,3,9,0,3,0,5,10,0,3,5,10,3,0,2,16
1203,1,6,3,5,12,2,3,0,3,15,2,12,9,13,9,1,10,22
1204,1,8,3,5,12,2,4,0,9,18,2,6,11,14,9,1,8,27
1205,1,3,1,4,10,1,3,0,5,11,3,4,5,10,8,0,5,18
1206,0,0,1,1,4,3,4,3,2,3,2,9,4,7,5,0,10,6
1207,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1
1208,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1209,1,13,1,6,2,10,5,3,10,22,2,7,14,13,13,1,7,34
1210,0,11,1,4,4,5,4,1,5,16,4,5,8,12,10,0,8,22
1211,1,1,4,7,11,11,20,12,1,56,3,7,21,27,18,1,7,60
1212,2,0,6,6,17,11,28,15,11,45,9,20,25,35,22,3,22,63
1213,0,0,0,1,1,0,4,1,0,2,4,1,4,2,1,0,1,6
1214,0,0,1,1,4,3,6,4,4,9,5,1,5,8,5,1,3,16
1215,0,0,1,3,3,3,7,3,3,4,5,8,7,8,5,0,9,11
1216,0,3,1,6,9,1,3,0,5,4,6,8,6,10,7,0,9,14
1217,0,0,0,0,0,0,1,2,2,0,1,0,2,1,0,0,1,2
1218,1,0,2,2,6,5,11,5,4,19,1,8,9,13,9,1,9,23
1219,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1220,0,0,5,0,9,6,13,2,8,14,5,8,10,11,11,3,10,25
1221,0,0,3,0,6,3,9,1,3,12,4,3,6,8,6,2,5,17
1222,2,1,1,2,6,3,6,0,3,12,3,3,7,7,6,1,5,16
1223,1,0,2,2,4,3,6,1,3,9,4,3,5,8,5,1,6,13
1224,0,0,1,1,2,1,3,0,2,2,1,3,2,4,2,0,4,4
1225,0,0,0,0,5,2,7,0,4,6,0,4,5,5,4,0,3,11
1226,0,0,1,0,3,4,7,0,1,7,3,4,4,7,4,0,4,11
1227,0,0,2,2,4,3,5,0,3,9,1,3,4,6,5,1,5,11
1228,0,0,0,0,3,1,1,0,0,0,0,5,3,1,1,0,2,3
1229,4,4,3,3,0,4,1,0,5,7,3,4,10,6,3,0,5,14
1230,0,0,3,0,3,3,6,0,0,8,5,2,4,4,6,1,3,12
1231,1,1,1,1,1,3,0,0,1,2,0,5,3,3,2,0,1,7
1232,9,7,5,5,0,8,5,2,6,18,4,13,20,14,7,0,12,29
1233,5,2,2,4,1,4,2,0,2,10,4,4,8,8,4,0,5,15
1234,0,0,0,0,2,0,1,0,0,1,1,1,1,1,1,0,1,2
1235,0,0,2,0,2,3,5,0,0,9,3,0,3,4,5,0,2,10
1236,0,1,2,0,4,2,5,1,1,5,3,6,4,5,4,2,4,11
1237,1,1,1,1,0,0,0,0,0,1,2,1,1,3,0,0,1,3
1238,0,0,2,0,7,4,7,0,4,8,5,3,5,7,7,1,4,16
1239,0,0,1,0,6,1,4,0,1,7,0,4,2,5,5,0,4,8
1240,0,0,0,0,0,0,8,5,5,8,0,0,5,8,0,0,5,8
1241,0,0,0,0,1,0,2,0,0,2,0,1,2,0,1,0,0,3
1242,1,4,2,5,10,1,4,0,7,7,6,7,8,11,7,1,9,18
1243,0,2,2,2,5,0,3,0,2,8,2,2,5,4,5,0,3,11
1244,0,3,1,3,6,0,1,0,3,7,0,4,4,6,4,0,4,10
1245,0,0,1,1,4,0,0,0,2,2,0,2,1,4,1,0,2,4
1246,0,6,0,2,3,0,0,0,3,6,0,2,3,6,2,0,3,8
1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1248,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,5,0
1249,0,1,2,1,3,0,0,1,2,2,0,4,2,4,2,0,2,6
1250,0,0,0,0,2,1,4,4,0,8,2,1,4,5,2,0,1,10
1251,3,7,8,4,4,7,3,0,10,12,10,4,13,13,9,1,8,28
1252,8,37,31,20,14,40,16,3,49,86,17,17,60,64,40,5,27,142
1253,1,5,3,2,1,3,1,0,4,8,2,2,6,7,3,0,3,13
1254,0,0,3,0,1,0,0,1,1,1,3,0,2,1,2,0,2,3
1255,1,5,3,1,8,1,5,3,7,13,3,4,9,10,7,1,7,20
1256,1,5,5,4,2,5,3,0,5,13,5,2,9,8,8,0,5,20
1257,2,6,4,3,6,5,4,1,6,16,4,5,11,12,7,1,7,24
1258,0,0,2,2,0,0,0,0,2,2,0,0,2,2,0,0,0,4
