"PUMA","W","Z","N","EXP","EXP_MIN","EXP_MAX","RMSE"
100,48561,49728,3354,1.02403163032063,0,16.7857142857143,1.15001607194389
200,48312,48065,3332,0.994887398575923,0,26.6666666666667,1.17318548723765
300,44605,45700,2910,1.02454881739715,0,8.1,1.04329429378272
400,81242,80217,2979,0.987383373132124,0,23.5,1.03729178199467
500,70487,72424,4148,1.02748024458411,0,11.7777777777778,1.04634042856597
600,87798,86792,4577,0.988541880225062,0,9.18518518518519,0.996798245438015
703,64864,63905,3269,0.98521521953626,0,9.85714285714286,0.95025805345549
704,47913,46977,2276,0.980464592073133,0,10.75,0.81543364902407
705,45846,45712,2678,0.997077171399904,0,5.15384615384615,0.896076844249465
800,75432,74639,3279,0.989487220277866,0,7.71428571428571,0.866344254189342
901,45428,45684,1925,1.00563529100995,0,5.25,0.788887797655516
902,44448,44783,2039,1.00753689704824,0,29,1.05160975032693
1000,46241,45817,2291,0.990830648126122,0,10.25,0.905694822190701
1103,38533,38709,1585,1.00456751355981,0,11.75,0.85682407358981
1104,43592,42451,1876,0.973825472563773,0,18.1111111111111,0.906688443107028
1105,41335,41426,2341,1.00220152413209,0,15.3333333333333,1.03254438084616
1200,71691,70146,3538,0.978449177721053,0,23.8181818181818,1.07612005362189
1301,51800,51790,2586,0.99980694980695,0,16.8888888888889,1.11095462201721
1302,47293,47312,2077,1.00040175078764,0,11.969696969697,0.857156209639103
1303,48088,48597,2309,1.010584761271,0,6.58333333333333,1.00473650934292
1305,58552,57979,2884,0.99021382702555,0,21.8461538461538,1.08508503957697
1314,76029,75079,3525,0.987504767917505,0,29,0.999971718379337
1316,61855,60750,2495,0.982135639802765,0,6.58333333333333,0.782397093866799
1317,40579,41142,1809,1.01387417136943,0,6.25581395348837,0.864043109234571
1318,71867,70587,3190,0.982189321941921,0,29.75,1.01162696623218
1319,48538,48774,2366,1.00486216984631,0,9.59090909090909,0.889647656472196
1320,47923,47406,2500,0.989211860693195,0,10.2,0.835549839865632
1321,43532,42958,2180,0.986814297528255,0,29,1.02864018405094
1322,46145,46058,2077,0.998114638639072,0,10.1,0.746493485218833
1323,43899,43075,1950,0.981229640766304,0,8.4,0.752719443444476
1324,48372,47302,1968,0.977879765153394,0,8.11764705882353,0.732118448590928
